Cacheblock,op_pair_count,temperature
7f71f400aa40,6,Warm (3-10 pairs)
7f71f400aa80,10,Warm (3-10 pairs)
7f71f400aac0,4,Warm (3-10 pairs)
7f71f400ab00,2,Cold (1-2 pairs)
7f71f400ab40,7,Warm (3-10 pairs)
7f71f400ab80,2,Cold (1-2 pairs)
7f71f400ae80,1,Cold (1-2 pairs)
7f71f400af00,1,Cold (1-2 pairs)
7f71f400b0c0,3,Warm (3-10 pairs)
7f71f400b340,1,Cold (1-2 pairs)
7f71f400b3c0,3,Warm (3-10 pairs)
7f71f400b440,2,Cold (1-2 pairs)
7f71f400b480,1,Cold (1-2 pairs)
7f71f400b540,1,Cold (1-2 pairs)
7f71f400b580,1,Cold (1-2 pairs)
7f71f400b5c0,1,Cold (1-2 pairs)
7f71f400b600,3,Warm (3-10 pairs)
7f71f400b640,2,Cold (1-2 pairs)
7f71f400b880,1,Cold (1-2 pairs)
7f71f400bcc0,2,Cold (1-2 pairs)
7f71f400be80,2,Cold (1-2 pairs)
7f71f400bf00,2,Cold (1-2 pairs)
7f71f400c180,1,Cold (1-2 pairs)
7f71f400c1c0,1,Cold (1-2 pairs)
7f71f400c200,1,Cold (1-2 pairs)
7f71f400c500,2,Cold (1-2 pairs)
7f71f400c580,4,Warm (3-10 pairs)
7f71f400c5c0,7,Warm (3-10 pairs)
7f71f400c600,11,Hot (11+ pairs)
7f71f400c800,2,Cold (1-2 pairs)
7f71f400c840,20,Hot (11+ pairs)
7f71f400c880,67,Hot (11+ pairs)
7f71f400c900,1,Cold (1-2 pairs)
7f71f400c940,15,Hot (11+ pairs)
7f71f400c980,11,Hot (11+ pairs)
7f71f400c9c0,13,Hot (11+ pairs)
7f71f400ca40,4,Warm (3-10 pairs)
7f71f400cac0,6,Warm (3-10 pairs)
7f71f400cc40,9,Warm (3-10 pairs)
7f71f400ce40,1,Cold (1-2 pairs)
7f71f400cf80,13,Hot (11+ pairs)
7f71f400cfc0,7,Warm (3-10 pairs)
7f71f400d000,1,Cold (1-2 pairs)
7f71f400d040,7,Warm (3-10 pairs)
7f71f400d080,2,Cold (1-2 pairs)
7f71f400d0c0,7,Warm (3-10 pairs)
7f71f400d100,1,Cold (1-2 pairs)
7f71f400d180,1,Cold (1-2 pairs)
7f71f400d2c0,18,Hot (11+ pairs)
7f71f400d300,1,Cold (1-2 pairs)
7f71f400d740,15,Hot (11+ pairs)
7f71f400d780,2,Cold (1-2 pairs)
7f71f400d7c0,3,Warm (3-10 pairs)
7f71f400d800,15,Hot (11+ pairs)
7f71f400d840,21,Hot (11+ pairs)
7f71f400d880,4,Warm (3-10 pairs)
7f71f400d8c0,8,Warm (3-10 pairs)
7f71f400d900,5,Warm (3-10 pairs)
7f71f400d980,5,Warm (3-10 pairs)
7f71f400d9c0,5,Warm (3-10 pairs)
7f71f400da00,27,Hot (11+ pairs)
7f71f400da40,9,Warm (3-10 pairs)
7f71f400da80,12,Hot (11+ pairs)
7f71f400dac0,18,Hot (11+ pairs)
7f71f400db00,15,Hot (11+ pairs)
7f71f400db40,13,Hot (11+ pairs)
7f71f400db80,4,Warm (3-10 pairs)
7f71f400dc00,1,Cold (1-2 pairs)
7f71f400dc40,1,Cold (1-2 pairs)
7f71f400dcc0,3,Warm (3-10 pairs)
7f71f400dd00,15,Hot (11+ pairs)
7f71f400df40,2,Cold (1-2 pairs)
7f71f400e140,9,Warm (3-10 pairs)
7f71f400e180,12,Hot (11+ pairs)
7f71f400e1c0,1,Cold (1-2 pairs)
7f71f400e300,11,Hot (11+ pairs)
7f71f400e340,2,Cold (1-2 pairs)
7f71f400e380,11,Hot (11+ pairs)
7f71f400e440,3,Warm (3-10 pairs)
7f71f400e480,4,Warm (3-10 pairs)
7f71f400e540,7,Warm (3-10 pairs)
7f71f400e5c0,6,Warm (3-10 pairs)
7f71f400e600,6,Warm (3-10 pairs)
7f71f400e640,8,Warm (3-10 pairs)
7f71f400e680,14,Hot (11+ pairs)
7f71f400e980,1,Cold (1-2 pairs)
7f71f400e9c0,1,Cold (1-2 pairs)
7f71f400ec40,14,Hot (11+ pairs)
7f71f400ec80,10,Warm (3-10 pairs)
7f71f400ecc0,5,Warm (3-10 pairs)
7f71f400ed00,4,Warm (3-10 pairs)
7f71f400ed40,12,Hot (11+ pairs)
7f71f400ed80,1,Cold (1-2 pairs)
7f71f400edc0,10,Warm (3-10 pairs)
7f71f400ee40,8,Warm (3-10 pairs)
7f71f400ee80,12,Hot (11+ pairs)
7f71f400eec0,26,Hot (11+ pairs)
7f71f400ef00,2,Cold (1-2 pairs)
7f71f400ef40,2,Cold (1-2 pairs)
7f71f400efc0,4,Warm (3-10 pairs)
7f71f400f000,7,Warm (3-10 pairs)
7f71f400f0c0,1,Cold (1-2 pairs)
7f71f400f180,1,Cold (1-2 pairs)
7f71f400f1c0,1,Cold (1-2 pairs)
7f71f400f240,4,Warm (3-10 pairs)
7f71f400f280,1,Cold (1-2 pairs)
7f71f400f540,3,Warm (3-10 pairs)
7f71f400f580,24,Hot (11+ pairs)
7f71f400f5c0,2,Cold (1-2 pairs)
7f71f400f600,7,Warm (3-10 pairs)
7f71f400f680,5,Warm (3-10 pairs)
7f71f400f700,2,Cold (1-2 pairs)
7f71f400f740,3,Warm (3-10 pairs)
7f71f400f780,9,Warm (3-10 pairs)
7f71f400f7c0,8,Warm (3-10 pairs)
7f71f400f800,7,Warm (3-10 pairs)
7f71f400f840,3,Warm (3-10 pairs)
7f71f400f940,4,Warm (3-10 pairs)
7f71f400f980,11,Hot (11+ pairs)
7f71f400f9c0,9,Warm (3-10 pairs)
7f71f400fa00,7,Warm (3-10 pairs)
7f71f400fa40,9,Warm (3-10 pairs)
7f71f400fa80,2,Cold (1-2 pairs)
7f71f400fac0,18,Hot (11+ pairs)
7f71f400fb00,4,Warm (3-10 pairs)
7f71f400fb40,5,Warm (3-10 pairs)
7f71f400fbc0,1,Cold (1-2 pairs)
7f71f400fdc0,1,Cold (1-2 pairs)
7f71f400fe80,1,Cold (1-2 pairs)
7f71f4010380,4,Warm (3-10 pairs)
7f71f4010440,3,Warm (3-10 pairs)
7f71f4010480,1,Cold (1-2 pairs)
7f71f40104c0,2,Cold (1-2 pairs)
7f71f4010500,1,Cold (1-2 pairs)
7f71f4010540,1,Cold (1-2 pairs)
7f71f4010600,2,Cold (1-2 pairs)
7f71f4010680,22,Hot (11+ pairs)
7f71f40106c0,4,Warm (3-10 pairs)
7f71f4010700,12,Hot (11+ pairs)
7f71f4010740,3,Warm (3-10 pairs)
7f71f40107c0,3,Warm (3-10 pairs)
7f71f4010800,1,Cold (1-2 pairs)
7f71f40108c0,4,Warm (3-10 pairs)
7f71f4010940,3,Warm (3-10 pairs)
7f71f4010ac0,14,Hot (11+ pairs)
7f71f4010b00,9,Warm (3-10 pairs)
7f71f4010c80,13,Hot (11+ pairs)
7f71f4010cc0,11,Hot (11+ pairs)
7f71f4010d00,21,Hot (11+ pairs)
7f71f4010d40,4,Warm (3-10 pairs)
7f71f4010d80,1,Cold (1-2 pairs)
7f71f4010e00,3,Warm (3-10 pairs)
7f71f4010e40,11,Hot (11+ pairs)
