Cacheblock,op_pair_count,temperature
7f99b3491880,23,Hot (11+ pairs)
7f99b34918c0,19,Hot (11+ pairs)
7f99b3491900,77,Hot (11+ pairs)
7f99b3491940,4,Warm (3-10 pairs)
7f99b3491980,6,Warm (3-10 pairs)
7f99b34919c0,24,Hot (11+ pairs)
7f99b3491a00,31,Hot (11+ pairs)
7f99b3491a40,4,Warm (3-10 pairs)
7f99b3491a80,58,Hot (11+ pairs)
7f99b3491ac0,9,Warm (3-10 pairs)
7f99b3491b00,23,Hot (11+ pairs)
7f99b3491b40,25,Hot (11+ pairs)
7f99b3491b80,10,Warm (3-10 pairs)
7f99b3491bc0,6,Warm (3-10 pairs)
7f99b3491c00,11,Hot (11+ pairs)
7f99b3491c40,20,Hot (11+ pairs)
7f99b3491c80,14,Hot (11+ pairs)
7f99b3491cc0,26,Hot (11+ pairs)
7f99b3491d00,42,Hot (11+ pairs)
7f99b3491d40,90,Hot (11+ pairs)
7f99b3491d80,103,Hot (11+ pairs)
7f99b3491dc0,84,Hot (11+ pairs)
7f99b3491e00,98,Hot (11+ pairs)
7f99b3491e40,190,Super Hot (top 1%)
7f99b3491e80,82,Hot (11+ pairs)
7f99b3491ec0,82,Hot (11+ pairs)
7f99b3491f00,66,Hot (11+ pairs)
7f99b3491f40,37,Hot (11+ pairs)
7f99b3491f80,87,Hot (11+ pairs)
7f99b3491fc0,49,Hot (11+ pairs)
7f99b3492000,30,Hot (11+ pairs)
7f99b3492040,63,Hot (11+ pairs)
7f99b3492080,99,Hot (11+ pairs)
7f99b34920c0,98,Hot (11+ pairs)
7f99b3492100,138,Hot (11+ pairs)
7f99b3492140,83,Hot (11+ pairs)
7f99b3492180,37,Hot (11+ pairs)
7f99b34921c0,72,Hot (11+ pairs)
7f99b3492200,46,Hot (11+ pairs)
7f99b3492240,34,Hot (11+ pairs)
7f99b3492280,33,Hot (11+ pairs)
7f99b34922c0,65,Hot (11+ pairs)
7f99b3492300,62,Hot (11+ pairs)
7f99b3492340,80,Hot (11+ pairs)
7f99b3492380,150,Hot (11+ pairs)
7f99b34923c0,13,Hot (11+ pairs)
7f99b3492400,44,Hot (11+ pairs)
7f99b3492440,34,Hot (11+ pairs)
7f99b3492480,1,Cold (1-2 pairs)
7f99b34924c0,11,Hot (11+ pairs)
7f99b3492500,2,Cold (1-2 pairs)
7f99b3492540,1,Cold (1-2 pairs)
7f99b3492600,20,Hot (11+ pairs)
7f99b34926c0,4,Warm (3-10 pairs)
7f99b3492700,17,Hot (11+ pairs)
7f99b3492740,25,Hot (11+ pairs)
7f99b3492780,4,Warm (3-10 pairs)
7f99b34927c0,85,Hot (11+ pairs)
7f99b3492800,55,Hot (11+ pairs)
7f99b3492840,11,Hot (11+ pairs)
7f99b3492880,6,Warm (3-10 pairs)
7f99b34928c0,14,Hot (11+ pairs)
7f99b3492900,35,Hot (11+ pairs)
7f99b3492940,26,Hot (11+ pairs)
7f99b3492980,8,Warm (3-10 pairs)
7f99b34929c0,2,Cold (1-2 pairs)
7f99b3492a00,3,Warm (3-10 pairs)
7f99b3492a40,22,Hot (11+ pairs)
7f99b3492a80,28,Hot (11+ pairs)
7f99b3492ac0,47,Hot (11+ pairs)
7f99b3492b00,2,Cold (1-2 pairs)
7f99b3492b40,14,Hot (11+ pairs)
7f99b3492b80,13,Hot (11+ pairs)
7f99b3492bc0,26,Hot (11+ pairs)
7f99b3492c00,25,Hot (11+ pairs)
7f99b3492c40,2,Cold (1-2 pairs)
7f99b3492cc0,3,Warm (3-10 pairs)
7f99b3492d00,3,Warm (3-10 pairs)
7f99b3492d40,5,Warm (3-10 pairs)
7f99b3492d80,2,Cold (1-2 pairs)
7f99b3492dc0,14,Hot (11+ pairs)
7f99b3492e00,23,Hot (11+ pairs)
7f99b3492e40,6,Warm (3-10 pairs)
7f99b3492e80,1,Cold (1-2 pairs)
7f99b3492ec0,12,Hot (11+ pairs)
7f99b3492f00,34,Hot (11+ pairs)
7f99b3492f40,20,Hot (11+ pairs)
7f99b3492f80,20,Hot (11+ pairs)
7f99b3492fc0,28,Hot (11+ pairs)
7f99b3493000,31,Hot (11+ pairs)
7f99b3493040,26,Hot (11+ pairs)
7f99b3493080,21,Hot (11+ pairs)
7f99b34930c0,20,Hot (11+ pairs)
7f99b3493100,9,Warm (3-10 pairs)
7f99b3493140,8,Warm (3-10 pairs)
7f99b34931c0,4,Warm (3-10 pairs)
7f99b3493200,3,Warm (3-10 pairs)
7f99b3493240,5,Warm (3-10 pairs)
7f99b3493280,14,Hot (11+ pairs)
7f99b34932c0,53,Hot (11+ pairs)
7f99b3493300,51,Hot (11+ pairs)
7f99b3493340,86,Hot (11+ pairs)
7f99b3493380,39,Hot (11+ pairs)
7f99b34933c0,35,Hot (11+ pairs)
7f99b3493400,35,Hot (11+ pairs)
7f99b3493440,49,Hot (11+ pairs)
7f99b3493480,48,Hot (11+ pairs)
7f99b34934c0,58,Hot (11+ pairs)
7f99b3493500,87,Hot (11+ pairs)
7f99b3493540,106,Hot (11+ pairs)
7f99b3493580,144,Hot (11+ pairs)
7f99b34935c0,95,Hot (11+ pairs)
7f99b3493600,86,Hot (11+ pairs)
7f99b3493640,125,Hot (11+ pairs)
7f99b3493680,109,Hot (11+ pairs)
7f99b34936c0,115,Hot (11+ pairs)
7f99b3493700,92,Hot (11+ pairs)
7f99b3493740,72,Hot (11+ pairs)
7f99b3493780,114,Hot (11+ pairs)
7f99b34937c0,101,Hot (11+ pairs)
7f99b3493800,58,Hot (11+ pairs)
7f99b3493840,81,Hot (11+ pairs)
7f99b3493880,146,Hot (11+ pairs)
7f99b34938c0,104,Hot (11+ pairs)
7f99b3493900,120,Hot (11+ pairs)
7f99b3493940,205,Super Hot (top 1%)
7f99b3493980,101,Hot (11+ pairs)
7f99b34939c0,136,Hot (11+ pairs)
7f99b3493a00,159,Hot (11+ pairs)
7f99b3493a40,85,Hot (11+ pairs)
7f99b3493a80,61,Hot (11+ pairs)
7f99b3493ac0,58,Hot (11+ pairs)
7f99b3493b00,81,Hot (11+ pairs)
7f99b3493b40,139,Hot (11+ pairs)
7f99b3493b80,92,Hot (11+ pairs)
7f99b3493bc0,419,Super Hot (top 1%)
7f99b3493c00,279,Super Hot (top 1%)
7f99b3493c40,83,Hot (11+ pairs)
7f99b3493c80,71,Hot (11+ pairs)
7f99b3493cc0,121,Hot (11+ pairs)
7f99b3493d00,220,Super Hot (top 1%)
7f99b3493d40,140,Hot (11+ pairs)
7f99b3493d80,127,Hot (11+ pairs)
7f99b3493dc0,116,Hot (11+ pairs)
7f99b3493e00,155,Hot (11+ pairs)
7f99b3493e40,90,Hot (11+ pairs)
7f99b3493e80,103,Hot (11+ pairs)
7f99b3493ec0,78,Hot (11+ pairs)
7f99b3493f00,92,Hot (11+ pairs)
7f99b3493f40,300,Super Hot (top 1%)
7f99b3493f80,252,Super Hot (top 1%)
7f99b3493fc0,145,Hot (11+ pairs)
7f99b3494000,120,Hot (11+ pairs)
7f99b3494040,301,Super Hot (top 1%)
7f99b3494080,136,Hot (11+ pairs)
7f99b34940c0,395,Super Hot (top 1%)
7f99b3494100,98,Hot (11+ pairs)
7f99b3494140,64,Hot (11+ pairs)
7f99b3494180,114,Hot (11+ pairs)
7f99b34941c0,115,Hot (11+ pairs)
7f99b3494200,130,Hot (11+ pairs)
7f99b3494240,80,Hot (11+ pairs)
7f99b3494280,148,Hot (11+ pairs)
7f99b34942c0,164,Hot (11+ pairs)
7f99b3494300,177,Hot (11+ pairs)
7f99b3494340,165,Hot (11+ pairs)
7f99b3494380,215,Super Hot (top 1%)
7f99b34943c0,246,Super Hot (top 1%)
7f99b3494400,241,Super Hot (top 1%)
7f99b3494440,299,Super Hot (top 1%)
7f99b3494480,183,Hot (11+ pairs)
7f99b34944c0,261,Super Hot (top 1%)
7f99b3494500,165,Hot (11+ pairs)
7f99b3494540,117,Hot (11+ pairs)
7f99b3494580,183,Hot (11+ pairs)
7f99b34945c0,234,Super Hot (top 1%)
7f99b3494600,104,Hot (11+ pairs)
7f99b3494640,177,Hot (11+ pairs)
7f99b3494680,121,Hot (11+ pairs)
7f99b34946c0,256,Super Hot (top 1%)
7f99b3494700,93,Hot (11+ pairs)
7f99b3494740,107,Hot (11+ pairs)
7f99b3494780,164,Hot (11+ pairs)
7f99b34947c0,113,Hot (11+ pairs)
7f99b3494800,86,Hot (11+ pairs)
7f99b3494840,139,Hot (11+ pairs)
7f99b3494880,92,Hot (11+ pairs)
7f99b34948c0,106,Hot (11+ pairs)
7f99b3494900,91,Hot (11+ pairs)
7f99b3494940,59,Hot (11+ pairs)
7f99b3494980,69,Hot (11+ pairs)
7f99b34949c0,126,Hot (11+ pairs)
7f99b3494a00,111,Hot (11+ pairs)
7f99b3494a40,114,Hot (11+ pairs)
7f99b3494a80,125,Hot (11+ pairs)
7f99b3494ac0,107,Hot (11+ pairs)
7f99b3494b00,117,Hot (11+ pairs)
7f99b3494b40,124,Hot (11+ pairs)
7f99b3494b80,187,Super Hot (top 1%)
7f99b3494bc0,116,Hot (11+ pairs)
7f99b3494c00,67,Hot (11+ pairs)
7f99b3494c40,83,Hot (11+ pairs)
7f99b3494c80,140,Hot (11+ pairs)
7f99b3494cc0,186,Super Hot (top 1%)
7f99b3494d00,261,Super Hot (top 1%)
7f99b3494d40,173,Hot (11+ pairs)
7f99b3494d80,129,Hot (11+ pairs)
7f99b3494dc0,165,Hot (11+ pairs)
7f99b3494e00,200,Super Hot (top 1%)
7f99b3494e40,171,Hot (11+ pairs)
7f99b3494e80,126,Hot (11+ pairs)
7f99b3494ec0,167,Hot (11+ pairs)
7f99b3494f00,183,Hot (11+ pairs)
7f99b3494f40,154,Hot (11+ pairs)
7f99b3494f80,116,Hot (11+ pairs)
7f99b3494fc0,147,Hot (11+ pairs)
7f99b3495000,97,Hot (11+ pairs)
7f99b3495040,82,Hot (11+ pairs)
7f99b3495080,107,Hot (11+ pairs)
7f99b34950c0,58,Hot (11+ pairs)
7f99b3495100,79,Hot (11+ pairs)
7f99b3495140,96,Hot (11+ pairs)
7f99b3495180,82,Hot (11+ pairs)
7f99b34951c0,108,Hot (11+ pairs)
7f99b3495200,120,Hot (11+ pairs)
7f99b3495240,110,Hot (11+ pairs)
7f99b3495280,65,Hot (11+ pairs)
7f99b34952c0,84,Hot (11+ pairs)
7f99b3495300,122,Hot (11+ pairs)
7f99b3495340,114,Hot (11+ pairs)
7f99b3495380,100,Hot (11+ pairs)
7f99b34953c0,69,Hot (11+ pairs)
7f99b3495400,89,Hot (11+ pairs)
7f99b3495440,62,Hot (11+ pairs)
7f99b3495480,95,Hot (11+ pairs)
7f99b34954c0,106,Hot (11+ pairs)
7f99b3495500,150,Hot (11+ pairs)
7f99b3495540,267,Super Hot (top 1%)
7f99b3495580,112,Hot (11+ pairs)
7f99b34955c0,132,Hot (11+ pairs)
7f99b3495600,142,Hot (11+ pairs)
7f99b3495640,170,Hot (11+ pairs)
7f99b3495680,316,Super Hot (top 1%)
7f99b34956c0,46,Hot (11+ pairs)
7f99b3495700,104,Hot (11+ pairs)
7f99b3495740,127,Hot (11+ pairs)
7f99b3495780,91,Hot (11+ pairs)
7f99b34957c0,114,Hot (11+ pairs)
7f99b3495800,111,Hot (11+ pairs)
7f99b3495840,91,Hot (11+ pairs)
7f99b3495880,86,Hot (11+ pairs)
7f99b34958c0,106,Hot (11+ pairs)
7f99b3495900,136,Hot (11+ pairs)
7f99b3495940,86,Hot (11+ pairs)
7f99b3495980,138,Hot (11+ pairs)
7f99b34959c0,180,Hot (11+ pairs)
7f99b3495a00,94,Hot (11+ pairs)
7f99b3495a40,130,Hot (11+ pairs)
7f99b3495a80,145,Hot (11+ pairs)
7f99b3495ac0,165,Hot (11+ pairs)
7f99b3495b00,132,Hot (11+ pairs)
7f99b3495b40,39,Hot (11+ pairs)
7f99b3495b80,61,Hot (11+ pairs)
7f99b3495bc0,30,Hot (11+ pairs)
7f99b3495c00,50,Hot (11+ pairs)
7f99b3495c40,42,Hot (11+ pairs)
7f99b3495c80,67,Hot (11+ pairs)
7f99b3495cc0,72,Hot (11+ pairs)
7f99b3495d00,89,Hot (11+ pairs)
7f99b3495d40,69,Hot (11+ pairs)
7f99b3495d80,95,Hot (11+ pairs)
7f99b3495dc0,98,Hot (11+ pairs)
7f99b3495e00,67,Hot (11+ pairs)
7f99b3495e40,133,Hot (11+ pairs)
7f99b3495e80,44,Hot (11+ pairs)
7f99b3495ec0,35,Hot (11+ pairs)
7f99b3495f00,36,Hot (11+ pairs)
7f99b3495f40,37,Hot (11+ pairs)
7f99b3495f80,61,Hot (11+ pairs)
7f99b3495fc0,51,Hot (11+ pairs)
7f99b3496000,45,Hot (11+ pairs)
7f99b3496040,46,Hot (11+ pairs)
7f99b3496080,122,Hot (11+ pairs)
7f99b34960c0,125,Hot (11+ pairs)
7f99b3496100,95,Hot (11+ pairs)
7f99b3496140,144,Hot (11+ pairs)
7f99b3496180,184,Hot (11+ pairs)
7f99b34961c0,169,Hot (11+ pairs)
7f99b3496200,165,Hot (11+ pairs)
7f99b3496240,103,Hot (11+ pairs)
7f99b3496280,118,Hot (11+ pairs)
7f99b34962c0,133,Hot (11+ pairs)
7f99b3496300,109,Hot (11+ pairs)
7f99b3496340,80,Hot (11+ pairs)
7f99b3496380,167,Hot (11+ pairs)
7f99b34963c0,273,Super Hot (top 1%)
7f99b3496400,380,Super Hot (top 1%)
7f99b3496440,21,Hot (11+ pairs)
7f99b3496480,52,Hot (11+ pairs)
7f99b34964c0,57,Hot (11+ pairs)
7f99b3496500,92,Hot (11+ pairs)
7f99b3496540,54,Hot (11+ pairs)
7f99b3496580,87,Hot (11+ pairs)
7f99b34965c0,136,Hot (11+ pairs)
7f99b3496600,50,Hot (11+ pairs)
7f99b3496640,97,Hot (11+ pairs)
7f99b3496680,83,Hot (11+ pairs)
7f99b34966c0,133,Hot (11+ pairs)
7f99b3496700,45,Hot (11+ pairs)
7f99b3496740,37,Hot (11+ pairs)
7f99b3496780,59,Hot (11+ pairs)
7f99b34967c0,67,Hot (11+ pairs)
7f99b3496800,38,Hot (11+ pairs)
7f99b3496840,90,Hot (11+ pairs)
7f99b3496880,89,Hot (11+ pairs)
7f99b34968c0,21,Hot (11+ pairs)
7f99b3496900,18,Hot (11+ pairs)
7f99b3496940,38,Hot (11+ pairs)
7f99b3496980,72,Hot (11+ pairs)
7f99b34969c0,26,Hot (11+ pairs)
7f99b3496a00,15,Hot (11+ pairs)
7f99b3496a40,23,Hot (11+ pairs)
7f99b3496a80,24,Hot (11+ pairs)
7f99b3496ac0,38,Hot (11+ pairs)
7f99b3496b00,23,Hot (11+ pairs)
7f99b3496b40,30,Hot (11+ pairs)
7f99b3496b80,4,Warm (3-10 pairs)
7f99b3496bc0,20,Hot (11+ pairs)
7f99b3496c00,17,Hot (11+ pairs)
7f99b3496c40,30,Hot (11+ pairs)
7f99b3496c80,35,Hot (11+ pairs)
7f99b3496cc0,12,Hot (11+ pairs)
7f99b3496d00,38,Hot (11+ pairs)
7f99b3496d40,27,Hot (11+ pairs)
7f99b3496d80,21,Hot (11+ pairs)
7f99b3496dc0,15,Hot (11+ pairs)
7f99b3496e00,24,Hot (11+ pairs)
7f99b3496e40,35,Hot (11+ pairs)
7f99b3496e80,17,Hot (11+ pairs)
7f99b3496ec0,8,Warm (3-10 pairs)
7f99b3496f00,12,Hot (11+ pairs)
7f99b3496f40,28,Hot (11+ pairs)
7f99b3496f80,42,Hot (11+ pairs)
7f99b3496fc0,59,Hot (11+ pairs)
7f99b3497000,23,Hot (11+ pairs)
7f99b3497040,13,Hot (11+ pairs)
7f99b3497080,5,Warm (3-10 pairs)
7f99b34970c0,19,Hot (11+ pairs)
7f99b3497100,31,Hot (11+ pairs)
7f99b3497140,26,Hot (11+ pairs)
7f99b3497180,50,Hot (11+ pairs)
7f99b34971c0,82,Hot (11+ pairs)
7f99b3497200,26,Hot (11+ pairs)
7f99b3497240,46,Hot (11+ pairs)
7f99b3497280,86,Hot (11+ pairs)
7f99b34972c0,101,Hot (11+ pairs)
7f99b3497300,93,Hot (11+ pairs)
7f99b3497340,152,Hot (11+ pairs)
7f99b3497380,163,Hot (11+ pairs)
7f99b34973c0,249,Super Hot (top 1%)
7f99b3497400,185,Super Hot (top 1%)
7f99b3497440,203,Super Hot (top 1%)
7f99b3497480,115,Hot (11+ pairs)
7f99b34974c0,91,Hot (11+ pairs)
7f99b3497500,40,Hot (11+ pairs)
7f99b3497540,57,Hot (11+ pairs)
7f99b3497580,80,Hot (11+ pairs)
7f99b34975c0,81,Hot (11+ pairs)
7f99b3497600,65,Hot (11+ pairs)
7f99b3497640,32,Hot (11+ pairs)
7f99b3497680,23,Hot (11+ pairs)
7f99b34976c0,38,Hot (11+ pairs)
7f99b3497700,13,Hot (11+ pairs)
7f99b3497740,8,Warm (3-10 pairs)
7f99b3497780,12,Hot (11+ pairs)
7f99b34977c0,19,Hot (11+ pairs)
7f99b3497800,41,Hot (11+ pairs)
7f99b3497840,35,Hot (11+ pairs)
7f99b3497880,28,Hot (11+ pairs)
7f99b34978c0,8,Warm (3-10 pairs)
7f99b3497980,4,Warm (3-10 pairs)
7f99b34979c0,1,Cold (1-2 pairs)
7f99b3497a40,1,Cold (1-2 pairs)
7f99b3498300,7,Warm (3-10 pairs)
7f99b3498340,14,Hot (11+ pairs)
7f99b34983c0,3,Warm (3-10 pairs)
7f99b3498480,7,Warm (3-10 pairs)
7f99b34984c0,18,Hot (11+ pairs)
7f99b3498500,19,Hot (11+ pairs)
7f99b3498540,10,Warm (3-10 pairs)
7f99b3498580,14,Hot (11+ pairs)
7f99b34985c0,6,Warm (3-10 pairs)
7f99b3498640,1,Cold (1-2 pairs)
7f99b3498680,19,Hot (11+ pairs)
7f99b3498700,2333,Super Hot (top 1%)
7f99b3498740,1,Cold (1-2 pairs)
7f99b34989c0,9,Warm (3-10 pairs)
7f99b3498a00,9,Warm (3-10 pairs)
7f99b3498a40,2,Cold (1-2 pairs)
7f99b3498d00,2,Cold (1-2 pairs)
7f99b3498d40,1,Cold (1-2 pairs)
7f99b3498d80,1,Cold (1-2 pairs)
7f99b38db400,1,Cold (1-2 pairs)
7f99b38e3000,15,Hot (11+ pairs)
7f99b38ea100,2,Cold (1-2 pairs)
7f99b38ea140,1,Cold (1-2 pairs)
7f99b38ea240,1,Cold (1-2 pairs)
7f99b38ea4c0,1,Cold (1-2 pairs)
7f99b38ea540,4,Warm (3-10 pairs)
7f99b38ea580,1,Cold (1-2 pairs)
7f99b38ea5c0,1,Cold (1-2 pairs)
7f99b38eab80,1,Cold (1-2 pairs)
7f99b38eac40,1,Cold (1-2 pairs)
7f99b38eac80,4,Warm (3-10 pairs)
7f99b38ec0c0,2,Cold (1-2 pairs)
7f99b38f1000,5,Warm (3-10 pairs)
7f99b38f1040,8,Warm (3-10 pairs)
7f99b38f10c0,12,Hot (11+ pairs)
7f99b38f1100,6,Warm (3-10 pairs)
7f99b38f1140,5,Warm (3-10 pairs)
7f99b38f1200,1,Cold (1-2 pairs)
7f99b38f1300,3,Warm (3-10 pairs)
7f99b38f1340,4,Warm (3-10 pairs)
7f99b38f1380,13,Hot (11+ pairs)
7f99b38f3000,11,Hot (11+ pairs)
7f99b38f3180,1,Cold (1-2 pairs)
7f99b38f3780,1,Cold (1-2 pairs)
7f99b38f37c0,1,Cold (1-2 pairs)
7f99b38f3900,1,Cold (1-2 pairs)
7f99b38f5000,3,Warm (3-10 pairs)
7f99b3925000,1,Cold (1-2 pairs)
7f99b3925040,1,Cold (1-2 pairs)
7f99b3925080,1,Cold (1-2 pairs)
7f99b39250c0,2,Cold (1-2 pairs)
7f99b3925140,1,Cold (1-2 pairs)
7f99b3925180,3,Warm (3-10 pairs)
7f99b39251c0,4,Warm (3-10 pairs)
7f99b3925200,4,Warm (3-10 pairs)
7f99b3925240,5,Warm (3-10 pairs)
7f99b3925280,12,Hot (11+ pairs)
7f99b39252c0,34,Hot (11+ pairs)
7f99b3925300,15,Hot (11+ pairs)
7f99b3925380,17,Hot (11+ pairs)
7f99b39253c0,23,Hot (11+ pairs)
7f99b3925400,14,Hot (11+ pairs)
7f99b3925440,9,Warm (3-10 pairs)
7f99b3925480,5,Warm (3-10 pairs)
7f99b39254c0,9,Warm (3-10 pairs)
7f99b3925500,9,Warm (3-10 pairs)
7f99b3925540,7,Warm (3-10 pairs)
7f99b3925580,10,Warm (3-10 pairs)
7f99b39255c0,13,Hot (11+ pairs)
7f99b3925600,1,Cold (1-2 pairs)
7f99b3925640,4,Warm (3-10 pairs)
7f99b3925680,1,Cold (1-2 pairs)
7f99b39256c0,1,Cold (1-2 pairs)
7f99b3925700,7,Warm (3-10 pairs)
7f99b3925840,2,Cold (1-2 pairs)
7f99b3925d80,2,Cold (1-2 pairs)
7f99b3925dc0,13,Hot (11+ pairs)
7f99b3925e80,1,Cold (1-2 pairs)
7f99b3925ec0,16,Hot (11+ pairs)
7f99b3925f00,24,Hot (11+ pairs)
7f99b3925f40,8,Warm (3-10 pairs)
7f99b3925f80,5,Warm (3-10 pairs)
7f99b3925fc0,6,Warm (3-10 pairs)
7f99b3926000,3,Warm (3-10 pairs)
7f99b3926080,2,Cold (1-2 pairs)
7f99b39260c0,2,Cold (1-2 pairs)
7f99b3926100,3,Warm (3-10 pairs)
7f99b3926140,3,Warm (3-10 pairs)
7f99b3926180,1,Cold (1-2 pairs)
7f99b3927400,17,Hot (11+ pairs)
7f99b3927440,4,Warm (3-10 pairs)
7f99b3928400,24,Hot (11+ pairs)
7f99b3928440,17,Hot (11+ pairs)
7f99b39284c0,1,Cold (1-2 pairs)
7f99b3f3ec00,1,Cold (1-2 pairs)
7f99b3f3ed00,1,Cold (1-2 pairs)
7f99b3f3ee80,1,Cold (1-2 pairs)
7f99b4206880,1,Cold (1-2 pairs)
7f99b420a240,1,Cold (1-2 pairs)
7f99b4405440,4,Warm (3-10 pairs)
7f99b4405480,2,Cold (1-2 pairs)
7f99b4428800,1,Cold (1-2 pairs)
7f99b4428840,2,Cold (1-2 pairs)
7f99b44d97c0,1,Cold (1-2 pairs)
7f99b44db000,2,Cold (1-2 pairs)
7f99b44dbd00,1,Cold (1-2 pairs)
7f99b4701280,1,Cold (1-2 pairs)
7f99b47031c0,1,Cold (1-2 pairs)
7f99b49bfb00,1,Cold (1-2 pairs)
7f99b4a2a000,14,Hot (11+ pairs)
7f99b4a4a600,11,Hot (11+ pairs)
7f99b4a4a640,1,Cold (1-2 pairs)
7f99b4aeeac0,14,Hot (11+ pairs)
7f99b4aeed40,1,Cold (1-2 pairs)
7f99b4aeeec0,1,Cold (1-2 pairs)
7f99b4af0500,1,Cold (1-2 pairs)
7f99b4af0540,1,Cold (1-2 pairs)
7f99b4af3080,3,Warm (3-10 pairs)
7f99b4af3100,3,Warm (3-10 pairs)
7f99b4af3140,1,Cold (1-2 pairs)
7f99b5355000,1,Cold (1-2 pairs)
7f99b53550c0,1,Cold (1-2 pairs)
7f99b5355900,10,Warm (3-10 pairs)
7f99b5355980,2,Cold (1-2 pairs)
7f99b5355a80,1,Cold (1-2 pairs)
7f99b5355d80,70,Hot (11+ pairs)
7f99b5355dc0,1,Cold (1-2 pairs)
7f99b5355e00,2,Cold (1-2 pairs)
7f99b5356000,1,Cold (1-2 pairs)
7f99b5356200,2,Cold (1-2 pairs)
7f99b5356240,1,Cold (1-2 pairs)
7f99b5357500,4,Warm (3-10 pairs)
7f99b5357580,2,Cold (1-2 pairs)
7f99b5357640,2,Cold (1-2 pairs)
7f99b5357680,2,Cold (1-2 pairs)
7f99b53576c0,11,Hot (11+ pairs)
7f99b5357700,16,Hot (11+ pairs)
7f99b5357740,7,Warm (3-10 pairs)
7f99b5357a00,6,Warm (3-10 pairs)
7f99b5357c00,4,Warm (3-10 pairs)
7f99b5357c80,4,Warm (3-10 pairs)
7f99b5357d00,2,Cold (1-2 pairs)
7f99b5359280,78,Hot (11+ pairs)
7f99b53592c0,31,Hot (11+ pairs)
7f99b5359300,21,Hot (11+ pairs)
7f99b5359340,11,Hot (11+ pairs)
7f99b5359380,16,Hot (11+ pairs)
7f99b53593c0,8,Warm (3-10 pairs)
7f99b5359400,6,Warm (3-10 pairs)
7f99b5359440,22,Hot (11+ pairs)
7f99b5359480,12,Hot (11+ pairs)
7f99b53594c0,5,Warm (3-10 pairs)
7f99b5359500,1,Cold (1-2 pairs)
7f99b535d000,9,Warm (3-10 pairs)
7f99b535d040,10,Warm (3-10 pairs)
7f99b535d080,6,Warm (3-10 pairs)
7f99b535d0c0,2,Cold (1-2 pairs)
7f99b535d100,4,Warm (3-10 pairs)
7f99b535d140,1,Cold (1-2 pairs)
7f99b535d180,2,Cold (1-2 pairs)
7f99b535d1c0,1,Cold (1-2 pairs)
7f99b535d200,8,Warm (3-10 pairs)
7f99b535d240,1,Cold (1-2 pairs)
7f99b535d280,1,Cold (1-2 pairs)
7f99b535d480,1,Cold (1-2 pairs)
7f99b535d500,1,Cold (1-2 pairs)
7f99b535db00,2,Cold (1-2 pairs)
7f99b535f000,1,Cold (1-2 pairs)
7f99b535f040,1,Cold (1-2 pairs)
7f99b535f080,1,Cold (1-2 pairs)
