Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:52:15 2025

Initialized Ramulator. 
Micro-op 1: 7f74c6fca288	Micro-op 2: 7f74c6fca28a
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca28c
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca28d
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6e25c00
Micro-op 1: 7f74c6e25bcb	Micro-op 2: 7f74c6e25c0e
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6e25c11
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6e25c13
Micro-op 1: 7f74c6e25bdd	Micro-op 2: 7f74c6e25c14
Micro-op 1: 7f74c6e25be4	Micro-op 2: 7f74c6e25c1b
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca285
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca288
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca28d
Micro-op 1: 7f74c686fd4f	Micro-op 2: 7f74c686fd50
Micro-op 1: 7f74c686fd52	Micro-op 2: 7f74c686fd54
Micro-op 1: 7f74c686fd58	Micro-op 2: 7f74c686fd59
Micro-op 1: 7f74c68709c4	Micro-op 2: 7f74c68709c5
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c6870a00
Micro-op 1: 7f74c6870a20	Micro-op 2: 7f74c68709e1
Micro-op 1: 7f74c68709f4	Micro-op 2: 7f74c68709f5
Micro-op 1: 7f74c68709f9	Micro-op 2: 7f74c68709fb
Micro-op 1: 7f74c68709fd	Micro-op 2: 7f74c68709fe
Micro-op 1: 7f74c6e25c01	Micro-op 2: 7f74c6e2626c
Micro-op 1: 7f74c68709e5	Micro-op 2: 7f74c6e26270
Micro-op 1: 7f74c6e26289	Micro-op 2: 7f74c6e2628a
Micro-op 1: 7f74c6e2628c	Micro-op 2: 7f74c6e2628e
Micro-op 1: 7f74c6e26290	Micro-op 2: 7f74c6e26292
Micro-op 1: 7f74c6e368ed	Micro-op 2: 7f74c6e368ee
Micro-op 1: 7f74c6e368f0	Micro-op 2: 7f74c6e368f2
Micro-op 1: 7f74c6e36d58	Micro-op 2: 7f74c6e36d5c
Micro-op 1: 7f74cfb5e54e	Micro-op 2: 7f74cf671db5
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf69bf0e
Micro-op 1: 7f74c68709f7	Micro-op 2: 7f74cf6a279c
Micro-op 1: 7f74cf6a2807	Micro-op 2: 7f74cf6a2808
Micro-op 1: 7f74cf6a2809	Micro-op 2: 7f74cf6a280b
Micro-op 1: 7f74c6e266a3	Micro-op 2: 7f74cf6a1e2f
Micro-op 1: 7f74c6e26692	Micro-op 2: 7f74cf6a1e33
Micro-op 1: 7f74cf6a1e49	Micro-op 2: 7f74cf6a1e59
Micro-op 1: 7f74cf6a1e68	Micro-op 2: 7f74cf6a1e69
