Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:48:18 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea66ba70	Micro-op 2: 7f34ea66ba70
Micro-op 1: 7f34ea66ba50	Micro-op 2: 7f34ea66ba54
Micro-op 1: 7f34ea66ba50	Micro-op 2: 7f34ea66ba50
Micro-op 1: 7f34ea66ba10	Micro-op 2: 7f34ea66ba14
Micro-op 1: 7f34ea66ba10	Micro-op 2: 7f34ea66ba10
Micro-op 1: 7f34ea66b948	Micro-op 2: 7f34ea66b94c
Micro-op 1: 7f34ea66b948	Micro-op 2: 7f34ea66b948
Micro-op 1: 7f34ea66b828	Micro-op 2: 7f34ea66b828
Micro-op 1: 7f34ea66b920	Micro-op 2: 7f34ea66b932
Micro-op 1: 7f34ea66b920	Micro-op 2: 7f34ea66b920
Micro-op 1: 7f34ea66b9e8	Micro-op 2: 7f34ea66b9ec
Micro-op 1: 7f34ea66b87d	Micro-op 2: 7f34ea66b88f
Micro-op 1: 7f34ea66b884	Micro-op 2: 7f34ea66b896
Micro-op 1: 7f34ea66b8a2	Micro-op 2: 7f34ea66b8a9
Micro-op 1: 7f34ea66b8b3	Micro-op 2: 7f34ea66b8c6
Micro-op 1: 7f34ea66b9e8	Micro-op 2: 7f34ea66b9e8
Micro-op 1: 7f34ea66b87d	Micro-op 2: 7f34ea66b8a2
Micro-op 1: 7f34ea66b8b3	Micro-op 2: 7f34ea66b8cd
Micro-op 1: 7f34ea66b8d9	Micro-op 2: 7f34ea66b8e4
Micro-op 1: 7f34ea669096	Micro-op 2: 7f34ea6690b8
Micro-op 1: 7f34ea669138	Micro-op 2: 7f34ea66913e
Micro-op 1: 7f34ea669138	Micro-op 2: 7f34ea669138
Micro-op 1: 7f34ea669147	Micro-op 2: 7f34ea669147
Micro-op 1: 7f34ea669174	Micro-op 2: 7f34ea669174
Micro-op 1: 7f34ea669096	Micro-op 2: 7f34ea66911b
Micro-op 1: 7f34ea669065	Micro-op 2: 7f34ea669122
Micro-op 1: 7f34ea669089	Micro-op 2: 7f34ea669089
Micro-op 1: 7f34ea66911b	Micro-op 2: 7f34ea669096
Micro-op 1: 7f34ea669164	Micro-op 2: 7f34ea669164
Micro-op 1: 7f34ea66919f	Micro-op 2: 7f34ea6691a0
Micro-op 1: 7f34ea6691a2	Micro-op 2: 7f34ea6691a4
Micro-op 1: 7f34ea6691a6	Micro-op 2: 7f34ea6691a8
Micro-op 1: 7f34ea66b3c5	Micro-op 2: 7f34ea66b3d7
Micro-op 1: 7f34ea66b79c	Micro-op 2: 7f34ea66b79c
Micro-op 1: 7f34ea669122	Micro-op 2: 7f34ea66b7b4
Micro-op 1: 7f34ea66b7ff	Micro-op 2: 7f34ea66b7e9
Micro-op 1: 7f34ea66b7ff	Micro-op 2: 7f34ea66b7ff
Micro-op 1: 7f34ea66b41c	Micro-op 2: 7f34ea66b561
