Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:59:22 2025

Initialized Ramulator. 
Micro-op 1: 7f7180ba11fe	Micro-op 2: 7f718157eaba
Micro-op 1: 7f7181557c78	Micro-op 2: 7f7181557c78
Micro-op 1: 7f718157fcfa	Micro-op 2: 7f7180ba1186
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f718157eb66
Micro-op 1: 7f7180ba11fe	Micro-op 2: 7f718157eac7
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f718157eaf2
Micro-op 1: 7f7181557a74	Micro-op 2: 7f7181557a74
Micro-op 1: 7f7181557a80	Micro-op 2: 7f7181557a80
Micro-op 1: 7f7180ba11fe	Micro-op 2: 7f7180ba11fe
Micro-op 1: 7f718157f1d3	Micro-op 2: 7f718157f143
Micro-op 1: 7f7180ba10e4	Micro-op 2: 7f7180ba10e4
Micro-op 1: 7f7180ba16f0	Micro-op 2: 7f7180b9d8c2
Micro-op 1: 7f7180b9db04	Micro-op 2: 7f7180b9db04
Micro-op 1: 7f718157fcfa	Micro-op 2: 7f7180b9d975
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f7180b9d97a
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f7180b9d98d
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f7180b9d98f
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f7180b9d993
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f7180b9d995
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f7180b9d997
Micro-op 1: 7f718157f1d3	Micro-op 2: 7f718157f15e
Micro-op 1: 7f718157f15f	Micro-op 2: 7f718157f160
Micro-op 1: 7f718157f162	Micro-op 2: 7f718157f164
Micro-op 1: 7f718157f06d	Micro-op 2: 7f718157d4f7
Micro-op 1: 7f718157f06d	Micro-op 2: 7f718157d501
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f718157e97d
Micro-op 1: 7f718157eaf2	Micro-op 2: 7f718157e982
Micro-op 1: 7f718157f166	Micro-op 2: 7f718157f1d3
Micro-op 1: 7f718157db6d	Micro-op 2: 7f718157c48b
