Scarab gitrev: fbdb46e
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 11:34:22 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640
Micro-op 1: 7ffff7dc47cc	Micro-op 2: 7ffff7dc4bfa
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dcae5d
Micro-op 1: 7ffff7dc5fe0	Micro-op 2: 7ffff7dc5fe1
Micro-op 1: 7ffff7dc5f9e	Micro-op 2: 7ffff7daa646
Micro-op 1: 7ffff7dc4c29	Micro-op 2: 7ffff7daa64d
Micro-op 1: 7ffff7dc53c7	Micro-op 2: 7ffff7dc53d8
Micro-op 1: 7ffff7dc53e5	Micro-op 2: 7ffff7dc53e5
Micro-op 1: 7ffff7dc53e5	Micro-op 2: 7ffff7dc53e5
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7dc53ea
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7dc53f0
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7daa6ac
Micro-op 1: 7ffff7daa6c9	Micro-op 2: 7ffff7daa6c9
Micro-op 1: 7ffff7dc2122	Micro-op 2: 7ffff7daaae9
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7daab01
Micro-op 1: 7ffff7daa6e1	Micro-op 2: 7ffff7daa6e1
Micro-op 1: 7ffff7daca3f	Micro-op 2: 7ffff7daca3f
Micro-op 1: 7ffff7daa698	Micro-op 2: 7ffff7daa698
Micro-op 1: 7ffff7dc53c4	Micro-op 2: 7ffff7dc53c4
Micro-op 1: 7ffff7dc53c7	Micro-op 2: 7ffff7dc53c7
Micro-op 1: 7ffff7dc5408	Micro-op 2: 7ffff7dc5408
Micro-op 1: 7ffff7dc2122	Micro-op 2: 7ffff7daa6eb
Micro-op 1: 7ffff7dc53e5	Micro-op 2: 7ffff7dc53e5
Micro-op 1: 7ffff7daa6fb	Micro-op 2: 7ffff7daa6fb
Micro-op 1: 7ffff7da9e29	Micro-op 2: 7ffff7da90c4
Micro-op 1: 7ffff7da90a4	Micro-op 2: 7ffff7da90a4
Micro-op 1: 7ffff7dc54ad	Micro-op 2: 7ffff7dc54b4
