Core, 0
LD_EXEC_CYCLES_3_total_count,             0
LD_EXEC_CYCLES_3_total_pct,         -nan

LD_EXEC_CYCLES_4_count,             0
LD_EXEC_CYCLES_4_pct,         -nan
LD_EXEC_CYCLES_4_total_count,             0
LD_EXEC_CYCLES_4_total_pct,         -nan
LD_EXEC_CYCLES_4_sum_count,             0
LD_EXEC_CYCLES_4_sum_pct,         -nan
LD_EXEC_CYCLES_4_sum_total_count,             0
LD_EXEC_CYCLES_4_sum_total_pct,         -nan
LD_EXEC_CYCLES_4_mean,         -nan
LD_EXEC_CYCLES_4_stddev,         -nan
LD_EXEC_CYCLES_4_total_mean,         -nan
LD_EXEC_CYCLES_4_total_stddev,         -nan

ICACHE_STAGE_STARVED_count,         21241
ICACHE_STAGE_STARVED_pct,        0.093
ICACHE_STAGE_STARVED_total_count,         21241
ICACHE_STAGE_STARVED_total_pct,        0.093

ICACHE_STAGE_NOT_STARVED_count,      22833489
ICACHE_STAGE_NOT_STARVED_pct,       99.907
ICACHE_STAGE_NOT_STARVED_total_count,      22833489
ICACHE_STAGE_NOT_STARVED_total_pct,       99.907
ICACHE_STAGE_NOT_STARVED_sum_count,      22854730
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      22854730
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,     158988616
ICACHE_STAGE_STALLED_pct,       87.431
ICACHE_STAGE_STALLED_total_count,     158988616
ICACHE_STAGE_STALLED_total_pct,       87.431

ICACHE_STAGE_NOT_STALLED_count,      22851434
ICACHE_STAGE_NOT_STALLED_pct,       12.566
ICACHE_STAGE_NOT_STALLED_total_count,      22851434
ICACHE_STAGE_NOT_STALLED_total_pct,       12.566

ICACHE_STAGE_OFF_PATH_count,          4631
ICACHE_STAGE_OFF_PATH_pct,        0.003
ICACHE_STAGE_OFF_PATH_total_count,          4631
ICACHE_STAGE_OFF_PATH_total_pct,        0.003
ICACHE_STAGE_OFF_PATH_sum_count,     181844681
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,     181844681
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.13
ICACHE_STAGE_OFF_PATH_stddev,         0.31
ICACHE_STAGE_OFF_PATH_total_mean,         0.13
ICACHE_STAGE_OFF_PATH_total_stddev,         0.31

DECODE_STAGE_STARVED_count,     181841331
DECODE_STAGE_STARVED_pct,      100.000
DECODE_STAGE_STARVED_total_count,     181841331
DECODE_STAGE_STARVED_total_pct,      100.000

DECODE_STAGE_NOT_STARVED_count,           114
DECODE_STAGE_NOT_STARVED_pct,        0.000
DECODE_STAGE_NOT_STARVED_total_count,           114
DECODE_STAGE_NOT_STARVED_total_pct,        0.000
DECODE_STAGE_NOT_STARVED_sum_count,     181841445
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,     181841445
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.00
DECODE_STAGE_NOT_STARVED_stddev,         0.00
DECODE_STAGE_NOT_STARVED_total_mean,         0.00
DECODE_STAGE_NOT_STARVED_total_stddev,         0.00

DECODE_STAGE_STALLED_count,             0
DECODE_STAGE_STALLED_pct,        0.000
DECODE_STAGE_STALLED_total_count,             0
DECODE_STAGE_STALLED_total_pct,        0.000

DECODE_STAGE_NOT_STALLED_count,     181841445
DECODE_STAGE_NOT_STALLED_pct,       99.998
DECODE_STAGE_NOT_STALLED_total_count,     181841445
DECODE_STAGE_NOT_STALLED_total_pct,       99.998

DECODE_STAGE_OFF_PATH_count,          3236
