Scarab gitrev: 8729389
Scarab started at Wed Apr  2 03:42:30 2025

Initialized Ramulator. 
Op1 PC: 7f97fc70aad4	 Op2 PC: 7f97fc70aad6	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055858	Op2 micro-op id: 20055860	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78ee	 Op2 PC: 7f97f88c78ef	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055871	Op2 micro-op id: 20055873	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f0	 Op2 PC: 7f97f88c78f2	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 24	 Op2 offset: 32	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055875	Op2 micro-op id: 20055877	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f4	 Op2 PC: 7f97f88c78f6	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 40	 Op2 offset: 48	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055879	Op2 micro-op id: 20055881	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70aa98	 Op2 PC: 7f97fc6ffa16	 Op1 Cacheblock: 7f97fc733f80	 Op2 Cacheblock: 7f97fc733f80	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20055544	Op2 micro-op id: 20056278	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6ffa41	 Op2 PC: 7f97fc6ffa42	 Op1 Cacheblock: 7fff61638b80	 Op2 Cacheblock: 7fff61638b80	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20056288	Op2 micro-op id: 20056290	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6ffa43	 Op2 PC: 7f97fc6ffa45	 Op1 Cacheblock: 7fff61638b80	 Op2 Cacheblock: 7fff61638b80	 Op1 Offset: 24	 Op2 offset: 32	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20056292	Op2 micro-op id: 20056294	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70aa98	 Op2 PC: 7f97fc70a242	 Op1 Cacheblock: 7f97fc733f80	 Op2 Cacheblock: 7f97fc733f80	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20055544	Op2 micro-op id: 20056329	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70b914	 Op2 PC: 7f97fc70b921	 Op1 Cacheblock: 7f97f89315c0	 Op2 Cacheblock: 7f97f89315c0	 Op1 Offset: 4	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 20056349	Op2 micro-op id: 20056355	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97fc70a249	 Op2 PC: 7f97fc70b85d	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 5	Op2 base reg: 1	Op1 micro-op id: 20056330	Op2 micro-op id: 20056384	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70b85b	 Op2 PC: 7f97fc70b914	 Op1 Cacheblock: 7f97f89315c0	 Op2 Cacheblock: 7f97f89315c0	 Op1 Offset: 0	 Op2 offset: 4	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 20056383	Op2 micro-op id: 20056439	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97fc70b91a	 Op2 PC: 7f97fc70b91a	 Op1 Cacheblock: 7f97f8931600	 Op2 Cacheblock: 7f97f8931600	 Op1 Offset: 4	 Op2 offset: 4	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 20056351	Op2 micro-op id: 20056441	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97fc70b85b	 Op2 PC: 7f97fc70b921	 Op1 Cacheblock: 7f97f89315c0	 Op2 Cacheblock: 7f97f89315c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 20056383	Op2 micro-op id: 20056445	Op1 mem size: 4	Op2 mem size: 0
Op1 PC: 7f97fc70b854	 Op2 PC: 7f97fc70b854	 Op1 Cacheblock: 7f97fc733f80	 Op2 Cacheblock: 7f97fc733f80	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20056382	Op2 micro-op id: 20056464	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70b85b	 Op2 PC: 7f97fc70b85b	 Op1 Cacheblock: 7f97f89315c0	 Op2 Cacheblock: 7f97f89315c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 20056383	Op2 micro-op id: 20056465	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97fc70b86f	 Op2 PC: 7f97fc70b86f	 Op1 Cacheblock: 7f97f8931a40	 Op2 Cacheblock: 7f97f8931a40	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 20056387	Op2 micro-op id: 20056469	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97fc70b895	 Op2 PC: 7f97fc70b895	 Op1 Cacheblock: 7f97fc734400	 Op2 Cacheblock: 7f97fc734400	 Op1 Offset: 20	 Op2 offset: 20	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20056398	Op2 micro-op id: 20056480	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97f88c78da	 Op2 PC: 7f97fc70b7dd	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 56	 Op2 offset: 48	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055866	Op2 micro-op id: 20056483	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78da	 Op2 PC: 7f97fc70b7de	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055866	Op2 micro-op id: 20056485	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc70b7df	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056487	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc70b7e1	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056489	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc70b7e3	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056491	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc70b7e5	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056493	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70b86f	 Op2 PC: 7f97fc70a25d	 Op1 Cacheblock: 7f97f8931a40	 Op2 Cacheblock: 7f97f8931a40	 Op1 Offset: 40	 Op2 offset: 56	 Op1 base reg: 1	Op2 base reg: 2	Op1 micro-op id: 20056387	Op2 micro-op id: 20056496	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97fc70a249	 Op2 PC: 7f97fc70a26b	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 5	Op2 base reg: 5	Op1 micro-op id: 20056330	Op2 micro-op id: 20056499	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc70a760	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056548	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70b854	 Op2 PC: 7f97fc701f1a	 Op1 Cacheblock: 7f97fc733f80	 Op2 Cacheblock: 7f97fc733f80	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 20056382	Op2 micro-op id: 20056697	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6ffa1d	 Op2 PC: 7f97fc701f21	 Op1 Cacheblock: 7f97fc6c8740	 Op2 Cacheblock: 7f97fc6c8740	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 1	Op2 base reg: 2	Op1 micro-op id: 20056279	Op2 micro-op id: 20056698	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc701f26	 Op2 PC: 7f97fc701f2f	 Op1 Cacheblock: 7f97f8931a80	 Op2 Cacheblock: 7f97f8931a80	 Op1 Offset: 56	 Op2 offset: 0	 Op1 base reg: 5	Op2 base reg: 5	Op1 micro-op id: 20056699	Op2 micro-op id: 20056702	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78f8	 Op2 PC: 7f97fc701f3c	 Op1 Cacheblock: 7fff61638b40	 Op2 Cacheblock: 7fff61638b40	 Op1 Offset: 56	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055883	Op2 micro-op id: 20056705	Op1 mem size: 8	Op2 mem size: 8
