pc1,pc2,cacheline,op_num1,op_num2
7f7180c8b045,7f7180c8f6f5,7f717d725180,10989,11400
7f7180c8f7fd,7f7180c8f7fd,7fff1ea3f180,8970,11409
7f717d421f34,7f7180b4cf17,7fff1ea3f1c0,11350,11437
7f717d421f2d,7f717d421f31,7fff1ea3f1c0,11447,11451
7f7180bea0be,7f7180b9d851,7f717e172ec0,8296,11564
7f7180ba16f0,7f7180b9d861,7f717e069fc0,11516,11567
7f7180ba16fc,7f7180b9d89a,7f7180cf2d40,11520,11581
7f7180ba1703,7f7180b9d8a4,7f717e172dc0,11521,11583
7f7180b9d8b5,7f7180b9d8d5,7f7180cf32c0,11588,11597
7f7180b9d98d,7f7180b9d98e,7fff1ea3f1c0,12069,12071
7f7180b9d98f,7f7180b9d991,7fff1ea3f1c0,12073,12075
7f7180b9d993,7f7180b9d995,7fff1ea3f1c0,12077,12079
7f7180b9d997,7f717d4a23f6,7fff1ea3f1c0,12081,12149
7f7180b9d997,7f717d4a23f7,7fff1ea3f1c0,12081,12151
7f7180b9d97a,7f717d42f19c,7f717e172ec0,12065,12198
7f7180b9d97a,7f717d5775be,7f717e172ec0,12065,12712
7fff1eb7ca3d,7fff1eb7ca4a,7fff1eb78080,12867,12870
7fff1eb7ca61,7fff1eb7ca68,7fff1eb78080,12901,12902
7fff1eb7ca6f,7fff1eb7ca84,7fff1eb78080,12903,12909
7fff1eb7ca8a,7fff1eb7ca91,7fff1eb78080,12910,12911
7fff1eb7cad7,7fff1eb7cad8,7fff1ea3f180,13040,13042
7fff1eb7cada,7fff1eb7cadb,7fff1ea3f180,13044,13046
7f717d5775d6,7f717d5775e7,7fff1ea3f180,13049,13052
7f7180b9d975,7f717d5775eb,7fff1ea3f180,12064,13054
7f7180b9d97a,7f717d5775ef,7f717e172ec0,12065,13055
7f7180b9d997,7f717d5775fa,7fff1ea3f1c0,12081,13058
7f7180b9d997,7f717d5775fb,7fff1ea3f1c0,12081,13060
7fff1eb7c6f1,7f7181c0b58c,7fff1ea3f140,12895,13295
7fff1eb7c6f1,7f71815beab9,7fff1ea3f140,12895,13302
7f7181c0b584,7f718157f39f,7f71816b0940,13291,13310
7f7181c07d46,7f7181c07d55,7f717d8cf9c0,13793,13797
7f7181c07d49,7f7181c07d9d,7f717e173180,13794,13815
7f7181c07daf,7f7181c07db0,7fff1ea3f100,13820,13822
7fff1eb7c6f1,7f7181c07db3,7fff1ea3f140,12895,13826
7fff1eb7c6f1,7f7181c07db5,7fff1ea3f140,12895,13828
7fff1eb7c6f1,7f7181c07db7,7fff1ea3f140,12895,13830
7fff1eb7c6f1,7f7181c07db9,7fff1ea3f140,12895,13832
7fff1eb7c6f1,7f71815bea39,7fff1ea3f140,12895,13839
7f718157f3ab,7f718157f3b7,7f71816b0940,13842,13845
7f7181c07d5e,7f7181c08b6e,7f717d8cf9c0,13801,14347
7f7181c019e3,7f7181c08b71,7f717e173180,1545,14348
7f7181c07d5e,7f7181c08b79,7f717d8cf9c0,13801,14349
7f7181c07d5e,7f7181c08c46,7f717d8cf9c0,13801,14380
7f7181c07d5e,7f7181c08c55,7f717d8cf9c0,13801,14386
7f7181c07d5e,7f7181c08c67,7f717d8cf9c0,13801,14393
7f7181c08bda,7f7181c08bdb,7fff1ea3f140,14426,14428
7f7181c08bdc,7f71815bea59,7fff1ea3f140,14430,14437
7f718157f3cb,7f718157f3cd,7fff1ea3f180,14444,14446
7f7181c0b584,7f718157e29f,7f71816b0900,14943,14959
7f718157f3ca,7f718157e2b4,7fff1ea3f140,14442,14964
7f7181c07d46,7f7181c07d5e,7f717d8cfe80,15173,15181
7f7181c07db1,7f7181c07daf,7fff1ea3f100,13824,15198
7f718157f3ca,7f7181c07db1,7fff1ea3f140,14442,15202
7f718157f3ca,7f71815bea39,7fff1ea3f140,14442,15217
7f71814547b0,7f71814547b0,7f71816abac0,13925,15381
7f718157f3ca,7f7181c08bda,7fff1ea3f140,14442,15426
7f718157f3ca,7f7181c08bdc,7fff1ea3f140,14442,15430
7f718157f3ca,7f71815bea59,7fff1ea3f140,14442,15437
7f7180b9d975,7f718157e300,7fff1ea3f180,12064,15442
7f7180b9d975,7f718157e301,7fff1ea3f180,12064,15444
7f7180b9d975,7f718157e303,7fff1ea3f180,12064,15446
7f7181454650,7f7181454650,7f71816aba00,13923,15941
7f7181c07d5e,7f7181c07d46,7f717d8cf9c0,13801,15990
7f7181c07d49,7f7181c07d49,7f717e173180,15174,15991
7f7181c0b584,7f718157f3ab,7f71816b0940,15944,16037
7f7181c08c4a,7f7181c08c4a,7f717d8cfa00,14382,16073
7f718157f3ca,7f718157f3ca,7fff1ea3f140,14442,16110
7f718157f3ca,7f718157f3cb,7fff1ea3f140,14442,16112
7f718157f802,7f718157f6bb,7f71816ace40,14451,16119
7f718157f6ce,7f718157f6cf,7fff1ea3f180,16125,16127
7f718157f395,7f7181c0b584,7f71816b0900,15960,16309
7f718157f395,7f718157e42d,7f71816b0900,15960,16325
7f718157f395,7f71815beae4,7f71816b0900,15960,16369
7f7180b9d97a,7f7181c0acc3,7f717e172ec0,12065,16761
7f7181c0accf,7f7181c0ace1,7f717e1731c0,16763,16768
7f718157f3ca,7f7181c0acf1,7fff1ea3f140,14442,16774
7f718157f3ca,7f718157e44e,7fff1ea3f140,14442,16781
7f718157f3ca,7f718157e450,7fff1ea3f140,14442,16783
7f7180b9d975,7f718157e4c6,7fff1ea3f180,12064,16792
7f7180b9d975,7f718157e4c7,7fff1ea3f180,12064,16794
7f718157db6d,7f718157ffd2,7f717e172ec0,16851,16933
7f7180b9d97a,7f7180b9bc44,7f717e172ec0,12065,17896
7f7180beb0cb,7f7180b9bc4d,7fff1ea3f0c0,17394,17897
7f718157ed51,7f718157ed55,7f717d8cfec0,18011,18012
7f718157ed64,7f718157ed86,7f717d8cfec0,18017,18026
7f718157e6a0,7f718157e6a4,7f717d8cfec0,18085,18086
7f718157e75a,7f718157e75b,7fff1ea3f080,18487,18489
7f718157e75c,7f718157e75e,7fff1ea3f080,18491,18493
7f718157ede0,7f718157ede7,7f717d8cfec0,18580,18582
7f7180c92762,7f7180c92766,7fff1ea3f100,19075,19076
7f718157edf2,7f718157edfb,7f717d8cfec0,19082,19086
7f718157ee03,7f718157ee04,7fff1ea3f0c0,19090,19092
7f718157ee05,7f718157ee07,7fff1ea3f0c0,19094,19096
7f7181c07db1,7f7181580028,7fff1ea3f100,13824,19101
7f7180bea0be,7f718158002d,7f717e172ec0,40,19102
7f7181c07db1,7f718158003c,7fff1ea3f100,13824,19106
7f7181c07db1,7f718158003d,7fff1ea3f100,13824,19108
7f7181c07db1,7f718158003f,7fff1ea3f100,13824,19110
7f718157eb44,7f718157eb54,7f717d8cfec0,19156,19201
7f718157eb48,7f718157eb66,7fff1ea3f100,19157,19204
7fff1eb7c6f1,7f718157eba7,7fff1ea3f140,12895,19209
7fff1eb7c6f1,7f718157eba8,7fff1ea3f140,12895,19211
7fff1eb7c6f1,7f718157eba9,7fff1ea3f140,12895,19213
7fff1eb7c6f1,7f718157ebab,7fff1ea3f140,12895,19215
7fff1eb7c6f1,7f718157dbbc,7fff1ea3f140,12895,19303
7f718157dbb4,7f718157dbc3,7f717d8d00c0,19300,19305
7f718157db69,7f718157d8e1,7f717d8d00c0,16850,19372
7f718157d8d4,7f718157d8eb,7f717d8d0100,19369,19375
7f718157d909,7f718157d910,7f717d8d0100,19400,19403
7f7181454830,7f7181454870,7f71816abb00,18625,19488
7fff1eb7cbee,7fff1eb7cbfc,7fff1eb78080,19572,19575
7fff1eb7cc08,7fff1eb7cc08,7fff1ea3f100,19579,19660
7f718157d91b,7f718157da0b,7f717d8d0100,19407,19663
7fff1eb7cc08,7f718157db10,7fff1ea3f100,19579,19862
7f718157db69,7f718157db69,7f717d8d00c0,16850,19895
7f718157d8fc,7f718157d929,7f717d8d0080,19395,19902
7f718157da17,7f718157d930,7f717d8d0100,19753,19905
7f718157e2e6,7f718157da3e,7f717d8cfb00,15220,19988
7f718157db6d,7f718157d45e,7f717e172ec0,19896,20232
7f718157d46e,7f718157d49f,7f717d8d0100,20235,20246
7f718157db69,7f718157d580,7f717d8d00c0,16850,20276
7f718157db69,7f718157d4e2,7f717d8d00c0,16850,20444
7f718157db69,7f718157d4e8,7f717d8d00c0,16850,20446
7f718157d58d,7f718157d58d,7f717d8d01c0,20279,20501
7f718157da3a,7f718157f059,7f717d8d0080,19987,20538
7f718157db69,7f718157f070,7f717d8d00c0,16850,20545
7f718157db69,7f718157f079,7f717d8d00c0,16850,20548
7f7181557aa4,7f7181557aa4,7f71816acdc0,20727,20850
7f7181557ab0,7f7181557ab0,7f71816abc80,20730,20853
7f7181557ac5,7f7181557ac5,7f71816acd80,21146,21267
7f7181454410,7f7181454410,7f71816ab900,17477,21728
7f7180ba1113,7f7180ba1113,7f7180cf2d40,22031,22073
7f7180ba111a,7f7180ba111a,7f717e172dc0,22032,22074
7f7180ba1128,7f7180ba1128,7f7180cf32c0,22035,22077
7f7180ba1186,7f7180ba118a,7fff1ea3f000,22173,22176
7f7180ba118b,7f7180ba118d,7fff1ea3f040,22178,22180
7f7180c92b9d,7f7181557c29,7fff1ea3f040,22345,22350
7f7181454230,7f7181454230,7f71816ab800,21568,22520
7f7180ba10f2,7f7180ba10f2,7f7180cf3b40,21992,22531
7f7180ba11e4,7f7180ba11e4,7f717d89d000,22148,22552
7f7180ba11f7,7f7180ba11f7,7f717d89d080,22153,22557
7f7181557c2b,7f7180ba118b,7fff1ea3f040,22352,22568
7f7181454080,7f7181454080,7f71816ab700,22229,22582
7f7180c92b9d,7f7181557c29,7fff1ea3f040,22595,22600
7f7181557c2b,7f718157e979,7fff1ea3f040,22602,22649
7f718157e97d,7f718157e97e,7fff1ea3f040,22652,22654
7f718157e982,7f718157e984,7fff1ea3f080,22658,22660
7f7180ba11fe,7f718157ec24,7f717e06ce80,22154,22801
7f718157e980,7f718157ec3e,7fff1ea3f040,22656,22808
7f718157ec28,7f718157ec5f,7f717e06ce80,22802,22814
7f718157ec63,7f718157ec7b,7f717e06ce80,22815,22821
7f718157e75a,7f718157e75c,7fff1ea3f040,22888,22892
7f718157e760,7f718157eca4,7fff1ea3f040,22896,22903
7f718157f1d3,7f718157eca5,7fff1ea3f080,22666,22905
7f718157e6a0,7f718157ef35,7f717e06ce80,22880,22961
7f718157ef39,7f718157ef42,7f717e06ce80,22962,22966
7f718157e75a,7f718157e760,7fff1ea3f040,23027,23035
7f718157e6a0,7f718157ef53,7f717e06ce80,23019,23040
7f718157eca7,7f718157ef5e,7fff1ea3f080,22907,23044
7f7180c92776,7f718157ef5f,7fff1ea3f080,19079,23046
7f7180c92776,7f718157f0ba,7fff1ea3f080,19079,23052
7f718157f1d8,7f718157f0bf,7f717d8d0080,22667,23146
7f71814546f0,7f71814546f0,7f71816aba40,15972,23197
7f7180c92776,7f71815bea39,7fff1ea3f080,19079,23259
7f718157da3a,7f718157f0e1,7f717d8d0080,19987,23268
7f71814542b0,7f71814542b0,7f71816ab840,19385,23343
7f7180ba1186,7f7180beb0cb,7fff1ea3f000,22563,23349
7f718157dd54,7f718157d8fc,7f717d8cfa80,23188,23353
7f718157d8d4,7f718157d909,7f717d8cfb00,23329,23358
7f718157d8d4,7f718157d91b,7f717d8cfb00,23329,23365
7f718157d8d4,7f718157da17,7f717d8cfb00,23329,23390
7f718157dd74,7f718157d929,7f717d8cfa80,15266,23395
7f718157da3a,7f718157da3a,7f717d8d0080,19987,23401
7f718157d46e,7f718157d4b3,7f717d8d0100,23427,23442
7f718157d8d4,7f718157d46e,7f717d8cfb00,23329,23479
7f718157da3a,7f718157f1c0,7f717d8d0080,19987,23542
7f7180ba10e4,7f7180ba10e4,7f7180cf2ec0,21984,23591
7f7180ba1186,7f7180c92b9d,7fff1ea3ef40,23692,23724
7f7181557c2b,7f7181557c2b,7fff1ea3ef80,23731,23861
7f718157e97d,7f718157e980,7fff1ea3ef80,23873,23877
7f718157dd74,7f718157f1d8,7f717d8cfa80,15266,23888
7f718157ef57,7f718157ec28,7f717e06ce80,23041,23910
7f718157ef57,7f718157ec63,7f717e06ce80,23041,23923
7f718157ef57,7f718157e6a0,7f717e06ce80,23041,23950
7f718157e75a,7f718157e760,7fff1ea3f040,23958,23966
7f718157f0c8,7f718157eca7,7fff1ea3f080,23262,23977
7f718157ef57,7f718157ef39,7f717e06ce80,23041,23994
7f718157ef57,7f718157ef57,7f717e06ce80,23041,24036
7f718157dd74,7f718157dd54,7f717d8cfa80,15266,24053
7f718157f0c8,7f718157f0c8,7fff1ea3f080,23262,24127
7f718157d8d4,7f718157d8d4,7f717d8cfb00,23329,24157
7f7180b9d97a,7f718157fc3d,7f717e172ec0,12065,24237
7f718157eca5,7f718157eca7,7fff1ea3eec0,24359,24361
7f718157e75a,7f718157e75a,7fff1ea3ee80,24342,24490
7f718157ef5e,7f718157ef5f,7fff1ea3eec0,24507,24509
7f718157fc61,7f71814548a8,7f71816abd40,24367,24840
7f718157efd4,7f718157efd8,7f717e06d9c0,25067,25068
7f7180b4f2fb,7f718157eff9,7fff1ea3eec0,24943,25080
7f718157eff1,7f718157ebf4,7f717e06da00,25076,25127
7f718157ebfe,7f718157ec07,7f717e06d9c0,25131,25133
7f7180b4f2fb,7f718157ec0f,7fff1ea3eec0,24943,25136
7f7180b9d97a,7f718157fd02,7f717e172ec0,12065,25143
7f7180b4f2fb,7f718157fd11,7fff1ea3eec0,24943,25146
7f718157fd1d,7f718157fd1e,7fff1ea3ef80,25148,25150
7f718157fd1f,7f718157fd21,7fff1ea3ef80,25152,25154
7f718157fd23,7f718157fd25,7fff1ea3ef80,25156,25158
7f718157fd27,7f718157eb48,7fff1ea3ef80,25160,25306
7f718157fd27,7f718157eb66,7fff1ea3ef80,25160,25352
7f718157f1d3,7f718157f143,7fff1ea3efc0,25191,25356
7f718157f06d,7f718157f148,7f717d8cfac0,23535,25357
7f718157eb44,7f718157eb44,7f717e06d9c0,25305,25385
7f718157eaba,7f718157eac4,7f717e06d9c0,25405,25409
7f718157eac7,7f718157eacb,7f717e06d9c0,25410,25411
7f7180ba11fe,7f718157eaba,7f717e06d9c0,23687,25507
7f7181557c78,7f7181557c78,7fff1ea3ef80,25568,25622
7f718157fcfa,7f7180ba1186,7fff1ea3ef40,25142,25778
7f718157eaf2,7f718157eb66,7fff1ea3ef80,25663,25822
7f7180ba11fe,7f718157eac7,7f717e06d9c0,23687,25844
7f718157eaf2,7f718157eaf2,7fff1ea3ef80,25663,25863
7f7181557a74,7f7181557a74,7f71816acdc0,25708,25867
7f7181557a80,7f7181557a80,7f71816abd00,25711,25870
7f7180ba11fe,7f7180ba11fe,7f717e06d4c0,25773,25932
7f718157f1d3,7f718157f143,7fff1ea3efc0,25191,25985
7f7180ba10e4,7f7180ba10e4,7f7180cf2ec0,25897,26053
7f7180ba16f0,7f7180b9d8c2,7f717e06d9c0,26543,26599
7f7180b9db04,7f7180b9db04,7f717d89d080,12020,26611
7f718157fcfa,7f7180b9d975,7fff1ea3ef40,25142,26616
7f7180b9d97a,7f7180b9d97a,7f717e172ec0,12065,26617
