
 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f75e5a17fe4, 7ffff6ec3ac0, 8, 8, 1, 3943726
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f75e5a17fe4, 7ffff6ec3ac0, 8, 8, 1, 3944311

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f75e5a17f94, 7f75e29b3580, 32, 6, 1, 3943621
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f75e5a17f80, 7f75e29b3580, 0, 6, 0, 3944294

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f75e5a17f1f, 7f75e5a8a580, 8, 0, 0, 3943497
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f75e5a17f1f, 7f75e5a8a580, 8, 0, 0, 3944274

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f75e590e229, 7f75e29e5fc0, 8, 1, 1, 3942997
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f75e590e229, 7f75e29e5fc0, 8, 1, 1, 3944214

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f75e590e213, 7f75e2599280, 8, 4, 2, 3942991
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f75e590e213, 7f75e2599280, 8, 4, 2, 3944208

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : e, 7f75e590e200, 7f75e2599080, 2, 4, 2, 3942987
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : e, 7f75e590e200, 7f75e2599080, 2, 4, 2, 3944204

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e5a17f80, 7f75e29b3480, 32, 6, 1, 3943517
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f75e590b731, 7f75e29b3480, 8, 5, 1, 3943900

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 3c, 7f75e590b882, 7f75e5a8a4c0, 4, 0, 0, 306594
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f75e590b726, 7f75e5a8a4c0, 8, 0, 0, 3943898

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f75e5a17e80, 7f75e5a833c0, 8, 0, 0, 206953
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f75e590b71f, 7f75e5a833c0, 8, 0, 0, 3943897

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f75e5a17e80, 7f75e5a833c0, 8, 0, 0, 206953
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f75e590b716, 7f75e5a833c0, 8, 0, 0, 3943806

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f75e5a17f94, 7f75e29b3600, 32, 6, 1, 3943633
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f75e5a17f94, 7f75e29b3600, 32, 6, 1, 3943645

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f75e5a17f86, 7f75e29b35c0, 32, 6, 1, 3943631
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f75e5a17f86, 7f75e29b35c0, 32, 6, 1, 3943643

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f75e5a17f94, 7f75e29b3500, 32, 6, 1, 3943520
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f75e5a17f80, 7f75e29b3500, 32, 6, 1, 3943618

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f75e5a17f86, 7f75e29b34c0, 32, 6, 1, 3943518
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f75e5a17f8d, 7f75e29b34c0, 32, 6, 1, 3943519

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e5a17f5d, 7f75e29b3600, 32, 6, 2, 3943510
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f75e5a17f65, 7f75e29b3600, 32, 6, 2, 3943511

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e5a17f46, 7f75e29b3640, 32, 6, 2, 3943506
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f75e5a17f4e, 7f75e29b3640, 32, 6, 2, 3943507

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f75e590b857, 7f75e2b9c480, 8, 15, 1, 3455138
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f75e590b857, 7f75e2b9c480, 8, 15, 1, 3943184

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f75e5a18087, 7f75e2b98480, 0, 6, 0, 3356577
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f75e5a18087, 7f75e2b98480, 0, 6, 0, 3943062

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f75e5a17e80, 7f75e5a833c0, 8, 0, 0, 206953
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f75e5a17e80, 7f75e5a833c0, 8, 0, 0, 3943048

