
 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7fa26f937189, 7ffef79e5200, 8, 1, 1, 422
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7fa26f937189, 7ffef79e5200, 8, 1, 1, 434

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7fa26f937186, 7fa0233cce80, 8, 2, 1, 421
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7fa26f937186, 7fa0233cce80, 8, 2, 1, 433

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7fa26f937182, 7ffef79e5240, 8, 5, 1, 420
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7fa26f937182, 7ffef79e5240, 8, 5, 1, 432

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7fa26f937190, 7fa2716512c0, 8, 4, 1, 10
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7fa26f937190, 7fa2716512c0, 8, 4, 1, 424
