
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e8c1de789, 7fff0d178b80, 8, 8, 1, 4957696

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f1e8c1de82a, 7f1e883cf680, 8, 7, 1, 4957612
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e8c1de82a, 7f1e883cf680, 8, 7, 1, 4957655

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f1e8c1de818, 7f1e8c1aa700, 8, 3, 1, 4957608
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f1e8c1de818, 7f1e8c1aa700, 8, 3, 1, 4957651

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f1e8b72b8ed, 7f1e883cf540, 8, 1, 1, 1795929
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e8c1de873, 7f1e883cf540, 4, 6, 1, 4957553

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8c1de7ab, 7f1e8c1aa700, 8, 3, 1, 4957451
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f1e8c1de7b6, 7f1e8c1aa700, 8, 3, 1, 4957453

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8c1de7a0, 7f1e8c217f80, 8, 0, 0, 4957439
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e8c1de7a0, 7f1e8c217f80, 8, 0, 0, 4957449

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f1e8c1ee7f0, 7fff0d178b80, 8, 8, 1, 4957423

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e8c1ee7ee, 7fff0d178b80, 8, 8, 1, 4957421

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f1e8c1ee7ec, 7fff0d178b80, 8, 8, 1, 4957419

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e8c1ee7eb, 7fff0d178b80, 8, 8, 1, 4957417

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 20, 7f1e8c1ee6d5, 7fff0d178b40, 8, 8, 1, 4957407
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e8c1ee7ea, 7fff0d178b40, 8, 8, 1, 4957415

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f1e8c1eeb01, 7f1e883cf580, 8, 13, 1, 1773779
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e8c1ee7bc, 7f1e883cf580, 8, 14, 1, 4957367

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f1e8c1ee7a0, 7f1e883cf680, 8, 1, 1, 4957357
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e8c1ee7b5, 7f1e883cf680, 8, 7, 1, 4957363

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f1e8c1e3c3b, 7f1e8c1aa700, 4, 1, 1, 1807778
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e8c1ee796, 7f1e8c1aa700, 8, 5, 1, 4957355

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 38, 7f1e8c1e3c3b, 7f1e8c1aa700, 4, 1, 1, 1807778
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f1e8c1ee788, 7f1e8c1aa700, 8, 5, 1, 4957352

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8c1e37ec, 7f1e8c217f80, 8, 0, 0, 1800635
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e8c1ee781, 7f1e8c217f80, 8, 0, 0, 4957351

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f1e883a4773, 7fff0d178d00, 8, 1, 1, 4957097
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f1e883a5ca4, 7fff0d178d00, 8, 1, 1, 4957156

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f1e883a4795, 7fff0d178cc0, 8, 3, 1, 1807796
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f1e883a5c8f, 7fff0d178cc0, 8, 7, 1, 4957150

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b984124, 7f1e8c1aa7c0, 8, 0, 0, 1798279
