ICACHE_STAGE_OFF_PATH_total_mean,         0.92
ICACHE_STAGE_OFF_PATH_total_stddev,         0.87

DECODE_STAGE_STARVED_count,     113300016
DECODE_STAGE_STARVED_pct,       98.207
DECODE_STAGE_STARVED_total_count,     113300016
DECODE_STAGE_STARVED_total_pct,       98.207

DECODE_STAGE_NOT_STARVED_count,       2069126
DECODE_STAGE_NOT_STARVED_pct,        1.793
DECODE_STAGE_NOT_STARVED_total_count,       2069126
DECODE_STAGE_NOT_STARVED_total_pct,        1.793
DECODE_STAGE_NOT_STARVED_sum_count,     115369142
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,     115369142
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.02
DECODE_STAGE_NOT_STARVED_stddev,         0.13
DECODE_STAGE_NOT_STARVED_total_mean,         0.02
DECODE_STAGE_NOT_STARVED_total_stddev,         0.13

DECODE_STAGE_STALLED_count,      19244441
DECODE_STAGE_STALLED_pct,       13.823
DECODE_STAGE_STALLED_total_count,      19244441
DECODE_STAGE_STALLED_total_pct,       13.823

DECODE_STAGE_NOT_STALLED_count,      96124701
DECODE_STAGE_NOT_STALLED_pct,       69.043
DECODE_STAGE_NOT_STALLED_total_count,      96124701
DECODE_STAGE_NOT_STALLED_total_pct,       69.043

DECODE_STAGE_OFF_PATH_count,      23855439
DECODE_STAGE_OFF_PATH_pct,       17.135
DECODE_STAGE_OFF_PATH_total_count,      23855439
DECODE_STAGE_OFF_PATH_total_pct,       17.135
DECODE_STAGE_OFF_PATH_sum_count,     139224581
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,     139224581
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.03
DECODE_STAGE_OFF_PATH_stddev,         0.59
DECODE_STAGE_OFF_PATH_total_mean,         1.03
DECODE_STAGE_OFF_PATH_total_stddev,         0.59

UOPQ_STAGE_STARVED_count,       9275657
UOPQ_STAGE_STARVED_pct,       34.561
UOPQ_STAGE_STARVED_total_count,       9275657
UOPQ_STAGE_STARVED_total_pct,       34.561

UOPQ_STAGE_NOT_STARVED_count,      17562527
UOPQ_STAGE_NOT_STARVED_pct,       65.439
UOPQ_STAGE_NOT_STARVED_total_count,      17562527
UOPQ_STAGE_NOT_STARVED_total_pct,       65.439
UOPQ_STAGE_NOT_STARVED_sum_count,      26838184
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      26838184
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         0.65
UOPQ_STAGE_NOT_STARVED_stddev,         0.60
UOPQ_STAGE_NOT_STARVED_total_mean,         0.65
UOPQ_STAGE_NOT_STARVED_total_stddev,         0.60

UOPQ_STAGE_STALLED_count,      67725067
UOPQ_STAGE_STALLED_pct,       48.644
UOPQ_STAGE_STALLED_total_count,      67725067
UOPQ_STAGE_STALLED_total_pct,       48.644

UOPQ_STAGE_NOT_STALLED_count,      26838184
UOPQ_STAGE_NOT_STALLED_pct,       19.277
UOPQ_STAGE_NOT_STALLED_total_count,      26838184
UOPQ_STAGE_NOT_STALLED_total_pct,       19.277

UOPQ_STAGE_OFF_PATH_count,      44661330
UOPQ_STAGE_OFF_PATH_pct,       32.079
UOPQ_STAGE_OFF_PATH_total_count,      44661330
UOPQ_STAGE_OFF_PATH_total_pct,       32.079
UOPQ_STAGE_OFF_PATH_sum_count,     139224581
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,     139224581
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         0.83
UOPQ_STAGE_OFF_PATH_stddev,         0.82
UOPQ_STAGE_OFF_PATH_total_mean,         0.83
UOPQ_STAGE_OFF_PATH_total_stddev,         0.82

MAP_STAGE_STARVED_count,       1933978
MAP_STAGE_STARVED_pct,        1.818
MAP_STAGE_STARVED_total_count,       1933978
MAP_STAGE_STARVED_total_pct,        1.818

MAP_STAGE_NOT_STARVED_count,     104448191
MAP_STAGE_NOT_STARVED_pct,       98.182
MAP_STAGE_NOT_STARVED_total_count,     104448191
MAP_STAGE_NOT_STARVED_total_pct,       98.182
