Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:17:17 2025

Initialized Ramulator. 
Op1 PC: 7ffff7daa0bd	 Op2 PC: 7ffff7daa115	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 40	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1348	Op2 micro-op id: 1453	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa128	 Op2 PC: 7ffff7daa12e	 Op1 Cacheblock: 7ffff7da8b00	 Op2 Cacheblock: 7ffff7da8b00	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1458	Op2 micro-op id: 1460	Op1 mem size: 8	Op2 mem size: 4
Op1 PC: 7ffff7daa138	 Op2 PC: 7ffff7daa128	 Op1 Cacheblock: 7ffff7da8b00	 Op2 Cacheblock: 7ffff7da8b00	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1463	Op2 micro-op id: 1548	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa138	 Op2 PC: 7ffff7daa138	 Op1 Cacheblock: 7ffff7da8b40	 Op2 Cacheblock: 7ffff7da8b40	 Op1 Offset: 0	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1564	Op2 micro-op id: 1575	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f1f	 Op2 PC: 7ffff7daa14b	 Op1 Cacheblock: 7ffff7dd6b80	 Op2 Cacheblock: 7ffff7dd6b80	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 947	Op2 micro-op id: 2210	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa187	 Op2 PC: 7ffff7daa18b	 Op1 Cacheblock: 7ffff7da8ec0	 Op2 Cacheblock: 7ffff7da8ec0	 Op1 Offset: 56	 Op2 offset: 48	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 2354	Op2 micro-op id: 2355	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa1b0	 Op2 PC: 7ffff7daa1b5	 Op1 Cacheblock: 7ffff7da85c0	 Op2 Cacheblock: 7ffff7da85c0	 Op1 Offset: 36	 Op2 offset: 38	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 2367	Op2 micro-op id: 2368	Op1 mem size: 1	Op2 mem size: 2
Op1 PC: 7ffff7daa11c	 Op2 PC: 7ffff7da9ecb	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 1	Op1 micro-op id: 1454	Op2 micro-op id: 2423	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f0f	 Op2 PC: 7ffff7da9f0f	 Op1 Cacheblock: 7ffff7dd6ac0	 Op2 Cacheblock: 7ffff7dd6ac0	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1144	Op2 micro-op id: 2450	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f2b	 Op2 PC: 7ffff7da9f2b	 Op1 Cacheblock: 7ffff7dd5f40	 Op2 Cacheblock: 7ffff7dd5f40	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1153	Op2 micro-op id: 2459	Op1 mem size: 8	Op2 mem size: 8
