Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:19:37 2025

Initialized Ramulator. 
Op1 PC: 7f71818775db	 Op2 PC: 7f71818775db	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 45	 Op2 offset: 45	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 3358	Op2 micro-op id: 3435	Op1 mem size: 1	Op2 mem size: 1
Op1 PC: 7f7181877555	 Op2 PC: 7f7181877562	 Op1 Cacheblock: 7f717d85af00	 Op2 Cacheblock: 7f717d85af00	 Op1 Offset: 56	 Op2 offset: 40	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 3730	Op2 micro-op id: 3733	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7181877530	 Op2 PC: 7f718187756a	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 4	 Op2 offset: 16	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 3724	Op2 micro-op id: 3735	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7f71818775db	 Op2 PC: 7f718187757f	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 45	 Op2 offset: 12	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 3358	Op2 micro-op id: 3739	Op1 mem size: 1	Op2 mem size: 4
Op1 PC: 7f718187757a	 Op2 PC: 7f7181877585	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 40	 Op2 offset: 48	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3738	Op2 micro-op id: 3740	Op1 mem size: 8	Op2 mem size: 4
Op1 PC: 7f71818775db	 Op2 PC: 7f7181877589	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 45	 Op2 offset: 8	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 3358	Op2 micro-op id: 3741	Op1 mem size: 1	Op2 mem size: 4
Op1 PC: 7f71818775bf	 Op2 PC: 7f71818775bf	 Op1 Cacheblock: 7f717e184a80	 Op2 Cacheblock: 7f717e184a80	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 14	Op2 base reg: 14	Op1 micro-op id: 3349	Op2 micro-op id: 3757	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818775e4	 Op2 PC: 7f71818775e4	 Op1 Cacheblock: 7f7181899600	 Op2 Cacheblock: 7f7181899600	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 3438	Op2 micro-op id: 3766	Op1 mem size: 1	Op2 mem size: 1
Op1 PC: 7f7181877545	 Op2 PC: 7f718187755e	 Op1 Cacheblock: 7f7181e65040	 Op2 Cacheblock: 7f7181e65040	 Op1 Offset: 48	 Op2 offset: 40	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 3773	Op2 micro-op id: 3777	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187757a	 Op2 PC: 7f718187757a	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3783	Op2 micro-op id: 3828	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818775c4	 Op2 PC: 7f71818775c4	 Op1 Cacheblock: 7f718189aa00	 Op2 Cacheblock: 7f718189aa00	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 4388	Op2 micro-op id: 4433	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7181877530	 Op2 PC: 7f7181877530	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 28	 Op2 offset: 28	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 4399	Op2 micro-op id: 4444	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f7181877545	 Op2 PC: 7f7181877545	 Op1 Cacheblock: 7f718189aa40	 Op2 Cacheblock: 7f718189aa40	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 4403	Op2 micro-op id: 4448	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7181877555	 Op2 PC: 7f7181877555	 Op1 Cacheblock: 7f7181899e80	 Op2 Cacheblock: 7f7181899e80	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 4405	Op2 micro-op id: 4450	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187758f	 Op2 PC: 7f718187758f	 Op1 Cacheblock: 7f718186c3c0	 Op2 Cacheblock: 7f718186c3c0	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 4418	Op2 micro-op id: 4463	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818777b8	 Op2 PC: 7f71818777ca	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 4850	Op2 micro-op id: 4854	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818777db	 Op2 PC: 7f71818777f4	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 32	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 4857	Op2 micro-op id: 4861	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7f718187782d	 Op2 PC: 7f718187782d	 Op1 Cacheblock: 7f718186c480	 Op2 Cacheblock: 7f718186c480	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 15	Op2 base reg: 15	Op1 micro-op id: 4874	Op2 micro-op id: 4907	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f718187784c	 Op2 PC: 7f7181877867	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 56	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5097	Op2 micro-op id: 5109	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187786c	 Op2 PC: 7f7181877879	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 24	 Op2 offset: 32	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5114	Op2 micro-op id: 5116	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187733a	 Op2 PC: 7f7181877344	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 14	 Op2 offset: 12	 Op1 base reg: 10	Op2 base reg: 10	Op1 micro-op id: 5165	Op2 micro-op id: 5171	Op1 mem size: 2	Op2 mem size: 1
Op1 PC: 7f7181877355	 Op2 PC: 7f7181877386	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 16	 Op2 offset: 8	 Op1 base reg: 10	Op2 base reg: 2	Op1 micro-op id: 5177	Op2 micro-op id: 5192	Op1 mem size: 8	Op2 mem size: 4
Op1 PC: 7f718187734d	 Op2 PC: 7f718187738b	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 32	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5175	Op2 micro-op id: 5194	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718188c784	 Op2 PC: 7f718188c7b0	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 5579	Op2 micro-op id: 5590	Op1 mem size: 16	Op2 mem size: 16
Op1 PC: 7f7181877871	 Op2 PC: 7f71818774dd	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 48	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5115	Op2 micro-op id: 5914	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7f718187750b	 Op2 PC: 7f718187750b	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3334	Op2 micro-op id: 5923	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f71818773c8	 Op2 PC: 7f71818777b8	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 16	 Op2 offset: 48	 Op1 base reg: 13	Op2 base reg: 2	Op1 micro-op id: 5819	Op2 micro-op id: 5975	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818777bf	 Op2 PC: 7f71818777bf	 Op1 Cacheblock: 7f718186c400	 Op2 Cacheblock: 7f718186c400	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 4851	Op2 micro-op id: 5976	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f718187750b	 Op2 PC: 7f71818777db	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 48	 Op2 offset: 32	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3334	Op2 micro-op id: 5982	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f718187780f	 Op2 PC: 7f718187780f	 Op1 Cacheblock: 7fff1ea3e580	 Op2 Cacheblock: 7fff1ea3e580	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 4865	Op2 micro-op id: 5990	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7181877842	 Op2 PC: 7f7181877842	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 5094	Op2 micro-op id: 6000	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187784c	 Op2 PC: 7f718187786c	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 56	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 6003	Op2 micro-op id: 6020	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187750b	 Op2 PC: 7f7181877871	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3334	Op2 micro-op id: 6021	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f71818773b3	 Op2 PC: 7f718187734d	 Op1 Cacheblock: 7fff1ea3e500	 Op2 Cacheblock: 7fff1ea3e500	 Op1 Offset: 16	 Op2 offset: 32	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5814	Op2 micro-op id: 6044	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7f718187733a	 Op2 PC: 7f7181877355	 Op1 Cacheblock: 7f718186c740	 Op2 Cacheblock: 7f718186c740	 Op1 Offset: 14	 Op2 offset: 16	 Op1 base reg: 10	Op2 base reg: 10	Op1 micro-op id: 6034	Op2 micro-op id: 6046	Op1 mem size: 2	Op2 mem size: 8
Op1 PC: 7f718188b691	 Op2 PC: 7f718188b691	 Op1 Cacheblock: 7f7181890f40	 Op2 Cacheblock: 7f7181890f40	 Op1 Offset: 60	 Op2 offset: 60	 Op1 base reg: 11	Op2 base reg: 11	Op1 micro-op id: 5286	Op2 micro-op id: 6087	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f718188ca28	 Op2 PC: 7f718188c784	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 33	 Op2 offset: 16	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 5802	Op2 micro-op id: 6091	Op1 mem size: 1	Op2 mem size: 16
Op1 PC: 7f718188ca24	 Op2 PC: 7f718188c7ea	 Op1 Cacheblock: 7f717e91e9c0	 Op2 Cacheblock: 7f717e91e9c0	 Op1 Offset: 3	 Op2 offset: 0	 Op1 base reg: 6	Op2 base reg: 6	Op1 micro-op id: 5801	Op2 micro-op id: 6112	Op1 mem size: 1	Op2 mem size: 16
Op1 PC: 7f718188ca28	 Op2 PC: 7f718188c7ef	 Op1 Cacheblock: 7f718186c8c0	 Op2 Cacheblock: 7f718186c8c0	 Op1 Offset: 33	 Op2 offset: 32	 Op1 base reg: 7	Op2 base reg: 7	Op1 micro-op id: 5802	Op2 micro-op id: 6113	Op1 mem size: 1	Op2 mem size: 16
Op1 PC: 7f718188ca24	 Op2 PC: 7f718188ca24	 Op1 Cacheblock: 7f717e91e9c0	 Op2 Cacheblock: 7f717e91e9c0	 Op1 Offset: 3	 Op2 offset: 3	 Op1 base reg: 6	Op2 base reg: 6	Op1 micro-op id: 5801	Op2 micro-op id: 6130	Op1 mem size: 1	Op2 mem size: 1
