Scarab gitrev: 3e29641
Scarab started at Tue Apr  8 05:34:02 2025

Initialized Ramulator. 
Op1 PC: 7f97fc70aad4, Op2 PC: 7f97fc70aad6, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78ee, Op2 PC: 7f97f88c78ef, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f0, Op2 PC: 7f97f88c78f2, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78f4, Op2 PC: 7f97f88c78f6, Op1 Cacheline: 7fff61638b40, Op2 Cacheline: 7fff61638b40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70aa98, Op2 PC: 7f97fc6ffa16, Op1 Cacheline: 7f97fc733f80, Op2 Cacheline: 7f97fc733f80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fc6ffa41, Op2 PC: 7f97fc6ffa42, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc6ffa43, Op2 PC: 7f97fc6ffa45, Op1 Cacheline: 7fff61638b80, Op2 Cacheline: 7fff61638b80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70aa98, Op2 PC: 7f97fc70a242, Op1 Cacheline: 7f97fc733f80, Op2 Cacheline: 7f97fc733f80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fc70b914, Op2 PC: 7f97fc70b921, Op1 Cacheline: 7f97f89315c0, Op2 Cacheline: 7f97f89315c0, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 7, Op2 Base reg: 7
Op1 PC: 7f97fc70a249, Op2 PC: 7f97fc70b85d, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 5, Op2 Base reg: 1
