ICACHE_STAGE_OFF_PATH_total_mean,         0.72
ICACHE_STAGE_OFF_PATH_total_stddev,         0.55

DECODE_STAGE_STARVED_count,        120589
DECODE_STAGE_STARVED_pct,        0.895
DECODE_STAGE_STARVED_total_count,        120589
DECODE_STAGE_STARVED_total_pct,        0.895

DECODE_STAGE_NOT_STARVED_count,      13358801
DECODE_STAGE_NOT_STARVED_pct,       99.105
DECODE_STAGE_NOT_STARVED_total_count,      13358801
DECODE_STAGE_NOT_STARVED_total_pct,       99.105
DECODE_STAGE_NOT_STARVED_sum_count,      13479390
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,      13479390
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.99
DECODE_STAGE_NOT_STARVED_stddev,         0.99
DECODE_STAGE_NOT_STARVED_total_mean,         0.99
DECODE_STAGE_NOT_STARVED_total_stddev,         0.99

DECODE_STAGE_STALLED_count,       6164628
DECODE_STAGE_STALLED_pct,       40.319
DECODE_STAGE_STALLED_total_count,       6164628
DECODE_STAGE_STALLED_total_pct,       40.319

DECODE_STAGE_NOT_STALLED_count,       7314762
DECODE_STAGE_NOT_STALLED_pct,       47.842
DECODE_STAGE_NOT_STALLED_total_count,       7314762
DECODE_STAGE_NOT_STALLED_total_pct,       47.842

DECODE_STAGE_OFF_PATH_count,       1810106
DECODE_STAGE_OFF_PATH_pct,       11.839
DECODE_STAGE_OFF_PATH_total_count,       1810106
DECODE_STAGE_OFF_PATH_total_pct,       11.839
DECODE_STAGE_OFF_PATH_sum_count,      15289496
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,      15289496
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         0.72
DECODE_STAGE_OFF_PATH_stddev,         0.54
DECODE_STAGE_OFF_PATH_total_mean,         0.72
DECODE_STAGE_OFF_PATH_total_stddev,         0.54

UOPQ_STAGE_STARVED_count,      15289496
UOPQ_STAGE_STARVED_pct,      100.000
UOPQ_STAGE_STARVED_total_count,      15289496
UOPQ_STAGE_STARVED_total_pct,      100.000

UOPQ_STAGE_NOT_STARVED_count,             0
UOPQ_STAGE_NOT_STARVED_pct,        0.000
UOPQ_STAGE_NOT_STARVED_total_count,             0
UOPQ_STAGE_NOT_STARVED_total_pct,        0.000
UOPQ_STAGE_NOT_STARVED_sum_count,      15289496
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      15289496
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         0.00
UOPQ_STAGE_NOT_STARVED_stddev,         0.00
UOPQ_STAGE_NOT_STARVED_total_mean,         0.00
UOPQ_STAGE_NOT_STARVED_total_stddev,         0.00

UOPQ_STAGE_STALLED_count,             0
UOPQ_STAGE_STALLED_pct,        0.000
UOPQ_STAGE_STALLED_total_count,             0
UOPQ_STAGE_STALLED_total_pct,        0.000

UOPQ_STAGE_NOT_STALLED_count,      15289496
UOPQ_STAGE_NOT_STALLED_pct,      100.000
UOPQ_STAGE_NOT_STALLED_total_count,      15289496
UOPQ_STAGE_NOT_STALLED_total_pct,      100.000

