op1_pc,op2_pc,distance
7f97fbc4f23d,7f97fbc4f23d,958
7f97fbc4f633,7f97fbc4f633,29112817
7f97fbc4f080,7f97fbc4f080,29112600
7f97fbc4f081,7f97fbc4f084,4
7f97fbc4f088,7f97fbc4f081,92
7f97fbc4f088,7f97fbc4f088,100
7f97fbc4c76a,7f97fbc4c76a,29112752
7f97fbc4f088,7f97fbc4d808,506
7f97fbc4f088,7f97fbc4d80a,646
7f97fbc4fe70,7f97fbc4fe73,4
7fff61784869,7f97fbc50d4c,29644892
7fff61784869,7f97fbc50d4e,29644896
7fff61784869,7f97fbc50d52,29644900
7fff61784869,7f97fc6f88ef,29644907
7f97fc70a31f,7f97fc708c97,29647171
7fff61784869,7f97fc70a6d5,29644943
7f97fc70b854,7f97fc708e73,29647758
7f97fc708fa7,7f97fc708fe9,10
7f97fc709001,7f97fc709013,4
7f97fc70a31f,7f97fc7093a7,29647384
7f97fc70a31f,7f97fc7093aa,29647388
7f97fc70a31f,7f97fc7093ae,29647392
7f97fc70a31f,7f97fc7093b1,29647396
7f97f88c77d2,7f97f88c77d2,29111670
7f97f88c981f,7f97f88c77e7,2926
7f97f88c6814,7f97f88c6814,29111664
7f97f88c77d2,7f97f88c84d5,29111743
7f97fbe72ba4,7f97fbe72ba4,68
7f97fbc500d6,7f97fbc500d6,71
7f97fbc500dd,7f97fbc500dd,71
7f97fbc500ea,7f97fbc500ea,71
7f97fbc500f7,7f97fbc500f7,71
7f97fbc4c840,7f97fbc4c840,29118044
7f97fbc4f088,7f97fbc4f08a,2
7fff617846f1,7f97fbc501a6,29648156
7fff617846f1,7f97fbc501a7,29648158
7fff617846f1,7f97fbc501a8,29648160
7fff617846f1,7f97fbc501aa,29648162
7fff617846f1,7f97fbe82991,29648167
7fff617846f1,7f97fbe82992,29648169
7f97fc70b854,7f97fc6ffc14,29650997
7fff617846f1,7f97fc6ffc2c,29648408
7f97f88c6814,7f97f88c67d4,29114797
7f97fc70a7a0,7f97fc70a7a0,3154
7f97fc70a7c5,7f97fc70a7c5,29114404
7f97fc708e73,7f97fc6ffc34,29115484
7f97f88c78da,7f97fc6ffc3f,29651644
7f97f88c981f,7f97f88c84fc,29647938
7f97f88c84f8,7f97f88c8539,52
