Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:40:36 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7dc4441	Micro-op 2: 7ffff7dc4550	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc44be	Micro-op 2: 7ffff7dc44be	 Cacheblock Address: 7fffffffc8c0
Micro-op 1: 7ffff7dc44c1	Micro-op 2: 7ffff7dc44c1	 Cacheblock Address: 7fffffffc840
Micro-op 1: 7ffff7dc44f4	Micro-op 2: 7ffff7dc44f4	 Cacheblock Address: 7fffffffc8c0
Micro-op 1: 7ffff7dc44f7	Micro-op 2: 7ffff7dc44f7	 Cacheblock Address: 7fffffffc840
Micro-op 1: 7ffff7dc5f61	Micro-op 2: 7ffff7dc4500	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc44f4	Micro-op 2: 7ffff7dc4507	 Cacheblock Address: 7fffffffc8c0
Micro-op 1: 7ffff7dc4441	Micro-op 2: 7ffff7dc450d	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc5f61	Micro-op 2: 7ffff7dc452b	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc5f61	Micro-op 2: 7ffff7dc452c	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc4f43	Micro-op 2: 7ffff7dc4f47	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc4441	Micro-op 2: 7ffff7dc4f4b	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc4f55	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc45d8	Micro-op 2: 7ffff7dc4fc1	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4fb6	Micro-op 2: 7ffff7dc4fb6	 Cacheblock Address: 7ffff7dcc980
Micro-op 1: 7ffff7dc4b16	Micro-op 2: 7ffff7dc4b22	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc2600	Micro-op 2: 7ffff7dc261c	 Cacheblock Address: 7ffff7dd5c40
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc25fc	Micro-op 2: 7ffff7dc2600	 Cacheblock Address: 7ffff7dd5a80
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc4b64	Micro-op 2: 7ffff7dc4b7f	 Cacheblock Address: 7fffffffc9c0
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc4b9f	Micro-op 2: 7ffff7dc4d78	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4d82	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4de8	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4dfe	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4e0b	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc47cc	Micro-op 2: 7ffff7dc4bfa	 Cacheblock Address: 7ffff7dd5600
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dcae5d	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc5fe0	Micro-op 2: 7ffff7dc5fe1	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc5f9e	Micro-op 2: 7ffff7daa646	 Cacheblock Address: 7ffff7dd7100
Micro-op 1: 7ffff7dc4c29	Micro-op 2: 7ffff7daa64d	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc53c7	Micro-op 2: 7ffff7dc53d8	 Cacheblock Address: 7fffffffd200
Micro-op 1: 7ffff7dc53e5	Micro-op 2: 7ffff7dc53e5	 Cacheblock Address: 7fffffffe280
Micro-op 1: 7ffff7dc53e5	Micro-op 2: 7ffff7dc53e5	 Cacheblock Address: 7fffffffee00
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7dc53ea	 Cacheblock Address: 7fffffffee00
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7dc53f0	 Cacheblock Address: 7fffffffee00
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7daa6ac	 Cacheblock Address: 7fffffffee00
Micro-op 1: 7ffff7daa6c9	Micro-op 2: 7ffff7daa6c9	 Cacheblock Address: 7fffffffee40
Micro-op 1: 7ffff7dc2122	Micro-op 2: 7ffff7daaae9	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc53ea	Micro-op 2: 7ffff7daab01	 Cacheblock Address: 7fffffffee00
Micro-op 1: 7ffff7daa6e1	Micro-op 2: 7ffff7daa6e1	 Cacheblock Address: 7ffff7dcc000
Micro-op 1: 7ffff7daca3f	Micro-op 2: 7ffff7daca3f	 Cacheblock Address: 7fffffffee40
Micro-op 1: 7ffff7daa698	Micro-op 2: 7ffff7daa698	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7dc53c4	Micro-op 2: 7ffff7dc53c4	 Cacheblock Address: 7fffffffc800
Micro-op 1: 7ffff7dc53c7	Micro-op 2: 7ffff7dc53c7	 Cacheblock Address: 7fffffffd280
Micro-op 1: 7ffff7dc5408	Micro-op 2: 7ffff7dc5408	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7dc2122	Micro-op 2: 7ffff7daa6eb	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc53e5	Micro-op 2: 7ffff7dc53e5	 Cacheblock Address: 7fffffffef80
Micro-op 1: 7ffff7daa6fb	Micro-op 2: 7ffff7daa6fb	 Cacheblock Address: 7ffff7dd5500
Micro-op 1: 7ffff7da9e29	Micro-op 2: 7ffff7da90c4	 Cacheblock Address: 7ffff7dd6000
Micro-op 1: 7ffff7da90a4	Micro-op 2: 7ffff7da90a4	 Cacheblock Address: 7ffff7dd6000
Micro-op 1: 7ffff7dc54ad	Micro-op 2: 7ffff7dc54b4	 Cacheblock Address: 7ffff7dd70c0
Micro-op 1: 7ffff7dc54f9	Micro-op 2: 7ffff7dc54fa	 Cacheblock Address: 7fffffffc6c0
Micro-op 1: 7ffff7db5290	Micro-op 2: 7ffff7db5295	 Cacheblock Address: 7fffffffc700
Micro-op 1: 7ffff7db52c9	Micro-op 2: 7ffff7db52ce	 Cacheblock Address: 7fffffffc700
Micro-op 1: 7ffff7dcb3c5	Micro-op 2: 7ffff7db52db	 Cacheblock Address: 7ffff7dcd340
Micro-op 1: 7ffff7db52d3	Micro-op 2: 7ffff7db52fb	 Cacheblock Address: 7fffffffc700
Micro-op 1: 7ffff7db54ed	Micro-op 2: 7ffff7db54ee	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7db54f0	Micro-op 2: 7ffff7db54f2	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7db54f4	Micro-op 2: 7ffff7db54f6	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7daa698	Micro-op 2: 7ffff7daad42	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7db538d	Micro-op 2: 7ffff7db519e	 Cacheblock Address: 7ffff7dd6040
Micro-op 1: 7ffff7da9158	Micro-op 2: 7ffff7db51cf	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7da9154	Micro-op 2: 7ffff7db51da	 Cacheblock Address: 7ffff7dd6980
Micro-op 1: 7ffff7db51ec	Micro-op 2: 7ffff7db51f4	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7db5313	Micro-op 2: 7ffff7dc5568	 Cacheblock Address: 7ffff7dd5600
Micro-op 1: 7ffff7db51d4	Micro-op 2: 7ffff7daad66	 Cacheblock Address: 7ffff7dd6040
Micro-op 1: 7ffff7dc5568	Micro-op 2: 7ffff7daadc2	 Cacheblock Address: 7ffff7dd5600
Micro-op 1: 7ffff7daadf4	Micro-op 2: 7ffff7dab81d	 Cacheblock Address: 7ffff3db4040
Micro-op 1: 7ffff7daad7a	Micro-op 2: 7ffff7dab828	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7daae08	Micro-op 2: 7ffff7daae08	 Cacheblock Address: 7ffff7dcc040
Micro-op 1: 7ffff7daadf4	Micro-op 2: 7ffff7daadf4	 Cacheblock Address: 7ffff3db4040
Micro-op 1: 7ffff7dab71e	Micro-op 2: 7ffff7dab71e	 Cacheblock Address: 7ffff7dd69c0
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7dab725	 Cacheblock Address: 7ffff7dd7180
Micro-op 1: 7ffff7dab72e	Micro-op 2: 7ffff7dab72e	 Cacheblock Address: 7ffff3db4080
Micro-op 1: 7ffff7daad7a	Micro-op 2: 7ffff7daae36	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7dab7ab	Micro-op 2: 7ffff7dab7cf	 Cacheblock Address: 7ffff3db40c0
Micro-op 1: 7ffff7dab7bf	Micro-op 2: 7ffff7dab7d6	 Cacheblock Address: 7ffff7dd74c0
Micro-op 1: 7ffff7dab7af	Micro-op 2: 7ffff7dab808	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7dab7b6	Micro-op 2: 7ffff7dab7b6	 Cacheblock Address: 7ffff7dd7180
Micro-op 1: 7ffff7dab7f0	Micro-op 2: 7ffff7dab7bf	 Cacheblock Address: 7ffff7dd74c0
Micro-op 1: 7ffff7dab7e6	Micro-op 2: 7ffff7dab7e6	 Cacheblock Address: 7ffff3db4080
Micro-op 1: 7ffff7dab7ab	Micro-op 2: 7ffff7dab7ab	 Cacheblock Address: 7ffff3db40c0
Micro-op 1: 7ffff7dab7af	Micro-op 2: 7ffff7dab7af	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7dab7f0	Micro-op 2: 7ffff7dab7f0	 Cacheblock Address: 7ffff7dd74c0
Micro-op 1: 7ffff7dab7bf	Micro-op 2: 7ffff7dab7bf	 Cacheblock Address: 7ffff7dd74c0
Micro-op 1: 7ffff7dab7e6	Micro-op 2: 7ffff7dab7e6	 Cacheblock Address: 7ffff3db40c0
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7dab78a	 Cacheblock Address: 7ffff7dd7180
Micro-op 1: 7ffff7dab78d	Micro-op 2: 7ffff7dab78d	 Cacheblock Address: 7ffff3db4100
Micro-op 1: 7ffff7dab799	Micro-op 2: 7ffff7dab799	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7db52f3	Micro-op 2: 7ffff7dab5cd	 Cacheblock Address: 7ffff7dd7480
Micro-op 1: 7ffff7dab5db	Micro-op 2: 7ffff7dab5db	 Cacheblock Address: 7ffff3db4180
Micro-op 1: 7ffff7dabdf2	Micro-op 2: 7ffff7dabdf2	 Cacheblock Address: 7ffff3db41c0
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dab858	 Cacheblock Address: 7ffff3db4200
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dab85d	 Cacheblock Address: 7ffff3db4200
Micro-op 1: 7ffff7daae49	Micro-op 2: 7ffff7daae57	 Cacheblock Address: 7ffff7dd74c0
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dc8148	 Cacheblock Address: 7ffff3db4200
Micro-op 1: 7ffff7dc8144	Micro-op 2: 7ffff7dc8a24	 Cacheblock Address: 7ffff7da89c0
Micro-op 1: 7ffff7dab858	Micro-op 2: 7ffff7dc8a28	 Cacheblock Address: 7ffff3db4200
Micro-op 1: 7ffff7daae50	Micro-op 2: 7ffff7dc8a2e	 Cacheblock Address: 7fffffffc740
Micro-op 1: 7ffff7daaead	Micro-op 2: 7ffff7daaecb	 Cacheblock Address: 7ffff7dd7040
Micro-op 1: 7ffff7dab725	Micro-op 2: 7ffff7daaf0c	 Cacheblock Address: 7ffff7dd7180
Micro-op 1: 7ffff7daaf19	Micro-op 2: 7ffff7daaf7b	 Cacheblock Address: 7ffff3dd6cc0
Micro-op 1: 7ffff7daaf64	Micro-op 2: 7ffff7daaf64	 Cacheblock Address: 7ffff3dd6d40
Micro-op 1: 7ffff7dab873	Micro-op 2: 7ffff7dab873	 Cacheblock Address: 7fffffffc780
Micro-op 1: 7ffff7daae3f	Micro-op 2: 7ffff7daae3f	 Cacheblock Address: 7ffff7dd7580
