Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:45:26 2025

Initialized Ramulator. 
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6e25c13	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c6e25bdd	Micro-op 2: 7f74c6e25c14	 Cacheblock Address: 7f74c8412b80
Micro-op 1: 7f74c6e25be4	Micro-op 2: 7f74c6e25c1b	 Cacheblock Address: 7f74c8412d40
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca285	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca288	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca28d	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c686fd4f	Micro-op 2: 7f74c686fd50	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686fd52	Micro-op 2: 7f74c686fd54	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686fd58	Micro-op 2: 7f74c686fd59	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c68709c4	Micro-op 2: 7f74c68709c5	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c6870a00	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c6870a20	Micro-op 2: 7f74c68709e1	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c68709f4	Micro-op 2: 7f74c68709f5	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c68709f9	Micro-op 2: 7f74c68709fb	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74c68709fd	Micro-op 2: 7f74c68709fe	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74c6e25c01	Micro-op 2: 7f74c6e2626c	 Cacheblock Address: 7f725416fbc0
Micro-op 1: 7f74c68709e5	Micro-op 2: 7f74c6e26270	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74c6e26289	Micro-op 2: 7f74c6e2628a	 Cacheblock Address: 7f725416fc00
Micro-op 1: 7f74c6e2628c	Micro-op 2: 7f74c6e2628e	 Cacheblock Address: 7f725416fc00
Micro-op 1: 7f74c6e26290	Micro-op 2: 7f74c6e26292	 Cacheblock Address: 7f725416fc00
Micro-op 1: 7f74c6e368ed	Micro-op 2: 7f74c6e368ee	 Cacheblock Address: 7f725416fc40
Micro-op 1: 7f74c6e368f0	Micro-op 2: 7f74c6e368f2	 Cacheblock Address: 7f725416fc40
Micro-op 1: 7f74c6e36d58	Micro-op 2: 7f74c6e36d5c	 Cacheblock Address: 7f725416fc80
Micro-op 1: 7f74cfb5e54e	Micro-op 2: 7f74cf671db5	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74c6e25af6	Micro-op 2: 7f74cf69bf0e	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74c68709f7	Micro-op 2: 7f74cf6a279c	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a2807	Micro-op 2: 7f74cf6a2808	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74cf6a2809	Micro-op 2: 7f74cf6a280b	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c6e266a3	Micro-op 2: 7f74cf6a1e2f	 Cacheblock Address: 7f725416fa40
