Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:51:07 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea650f1f	Micro-op 2: 7f34ea65114b	 Cacheblock Address: 7f34ea67db80
Micro-op 1: 7f34ea651187	Micro-op 2: 7f34ea65118b	 Cacheblock Address: 7f34ea64fec0
Micro-op 1: 7f34ea6511b0	Micro-op 2: 7f34ea6511b5	 Cacheblock Address: 7f34ea64f5c0
Micro-op 1: 7f34ea650ecb	Micro-op 2: 7f34ea650ecb	 Cacheblock Address: 7f34ea67ce80
Micro-op 1: 7f34ea650f62	Micro-op 2: 7f34ea650edf	 Cacheblock Address: 7f34ea67da40
Micro-op 1: 7f34ea650fb6	Micro-op 2: 7f34ea650fb6	 Cacheblock Address: 7f34ea67da80
Micro-op 1: 7f34ea6510de	Micro-op 2: 7f34ea6510de	 Cacheblock Address: 7f34ea67cf80
Micro-op 1: 7f34ea6510f6	Micro-op 2: 7f34ea6510f6	 Cacheblock Address: 7f34ea67dac0
Micro-op 1: 7f34ea6511ba	Micro-op 2: 7f34ea6511b0	 Cacheblock Address: 7f34ea64f5c0
Micro-op 1: 7f34ea6511cd	Micro-op 2: 7f34ea6511cd	 Cacheblock Address: 7f34ea67d9c0
Micro-op 1: 7f34ea650f4b	Micro-op 2: 7f34ea650f1b	 Cacheblock Address: 7f34ea67cf00
Micro-op 1: 7f34ea651187	Micro-op 2: 7f34ea651187	 Cacheblock Address: 7f34ea64fec0
Micro-op 1: 7f34ea6511ba	Micro-op 2: 7f34ea6511ba	 Cacheblock Address: 7f34ea64f5c0
Micro-op 1: 7f34ea651260	Micro-op 2: 7f34ea651260	 Cacheblock Address: 7f34ea64ff00
Micro-op 1: 7f34ea650f2f	Micro-op 2: 7f34ea65c0b4	 Cacheblock Address: 7f34ea67dc80
Micro-op 1: 7f34ea650ecb	Micro-op 2: 7f34ea65c0c0	 Cacheblock Address: 7f34ea67ce80
Micro-op 1: 7f34ea65c0c4	Micro-op 2: 7f34ea65c0cc	 Cacheblock Address: 7f34ea64f3c0
Micro-op 1: 7f34ea65c0cf	Micro-op 2: 7f34ea65c0eb	 Cacheblock Address: 7f34ea64f3c0
Micro-op 1: 7f34ea66b73e	Micro-op 2: 7f34ea66b74b	 Cacheblock Address: 7ffe447c30c0
Micro-op 1: 7f34ea66b74b	Micro-op 2: 7f34ea66b74b	 Cacheblock Address: 7ffe447c31c0
Micro-op 1: 7f34ea66b7b4	Micro-op 2: 7f34ea66b7d8	 Cacheblock Address: 7f34ea67ce40
Micro-op 1: 7f34ea66b7e9	Micro-op 2: 7f34ea66b7f5	 Cacheblock Address: 7f34ea67c640
Micro-op 1: 7f34ea66b8f8	Micro-op 2: 7f34ea66b90a	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66b81a	Micro-op 2: 7f34ea66b81a	 Cacheblock Address: 7f34ea673880
Micro-op 1: 7f34ea66b8f8	Micro-op 2: 7f34ea66b8f8	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66b840	Micro-op 2: 7f34ea66b840	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66b9c0	Micro-op 2: 7f34ea66b9d1	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66b9c0	Micro-op 2: 7f34ea66b9c0	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66ba30	Micro-op 2: 7f34ea66ba34	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66ba30	Micro-op 2: 7f34ea66ba30	 Cacheblock Address: 7ffe447c3200
Micro-op 1: 7f34ea66b998	Micro-op 2: 7f34ea66b9a8	 Cacheblock Address: 7ffe447c3240
Micro-op 1: 7f34ea66b998	Micro-op 2: 7f34ea66b998	 Cacheblock Address: 7ffe447c3240
Micro-op 1: 7f34ea66ba70	Micro-op 2: 7f34ea66ba74	 Cacheblock Address: 7ffe447c3240
Micro-op 1: 7f34ea66ba70	Micro-op 2: 7f34ea66ba70	 Cacheblock Address: 7ffe447c3240
