Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:42:56 2025

Initialized Ramulator. 
Micro-op 1: 7f718187750b	Micro-op 2: 7f71818777db	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f718187780f	Micro-op 2: 7f718187780f	 Cacheblock Address: 7fff1ea3e580
Micro-op 1: 7f7181877842	Micro-op 2: 7f7181877842	 Cacheblock Address: 7f718189acc0
Micro-op 1: 7f718187784c	Micro-op 2: 7f718187786c	 Cacheblock Address: 7fff1ea3e540
Micro-op 1: 7f718187750b	Micro-op 2: 7f7181877871	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f71818773b3	Micro-op 2: 7f718187734d	 Cacheblock Address: 7fff1ea3e500
Micro-op 1: 7f718187733a	Micro-op 2: 7f7181877355	 Cacheblock Address: 7f718186c740
Micro-op 1: 7f718188b691	Micro-op 2: 7f718188b691	 Cacheblock Address: 7f7181890f40
Micro-op 1: 7f718188ca28	Micro-op 2: 7f718188c784	 Cacheblock Address: 7f718186c8c0
Micro-op 1: 7f718188ca24	Micro-op 2: 7f718188c7ea	 Cacheblock Address: 7f717e91e9c0
Micro-op 1: 7f718188ca28	Micro-op 2: 7f718188c7ef	 Cacheblock Address: 7f718186c8c0
Micro-op 1: 7f718188ca24	Micro-op 2: 7f718188ca24	 Cacheblock Address: 7f717e91e9c0
Micro-op 1: 7f718188ca28	Micro-op 2: 7f718188ca28	 Cacheblock Address: 7f718186c8c0
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f718188ca2e	 Cacheblock Address: 7fff1ea3e4c0
Micro-op 1: 7f718187739d	Micro-op 2: 7f718187739d	 Cacheblock Address: 7f718189ad00
Micro-op 1: 7f71818773b3	Micro-op 2: 7f71818773b3	 Cacheblock Address: 7fff1ea3e500
Micro-op 1: 7f71818773b7	Micro-op 2: 7f71818773b7	 Cacheblock Address: 7f718186ca40
Micro-op 1: 7f7181877842	Micro-op 2: 7f71818773c8	 Cacheblock Address: 7f718189acc0
Micro-op 1: 7f71818773d4	Micro-op 2: 7f71818773d4	 Cacheblock Address: 7f717e176f80
Micro-op 1: 7f71818773d7	Micro-op 2: 7f71818773d7	 Cacheblock Address: 7f717e174940
Micro-op 1: 7f71818774d4	Micro-op 2: 7f71818774d4	 Cacheblock Address: 7f718189b440
Micro-op 1: 7f7181877450	Micro-op 2: 7f7181877450	 Cacheblock Address: 7f717e174940
Micro-op 1: 7f718188c788	Micro-op 2: 7f718188c788	 Cacheblock Address: 7f717e91e980
Micro-op 1: 7f7181877545	Micro-op 2: 7f7181877545	 Cacheblock Address: 7f718189aa40
Micro-op 1: 7f7181877454	Micro-op 2: 7f7181877454	 Cacheblock Address: 7f717e176f40
Micro-op 1: 7f718188b9c4	Micro-op 2: 7f718188b9f0	 Cacheblock Address: 7f718186c9c0
Micro-op 1: 7f718188b9c8	Micro-op 2: 7f718188ba2a	 Cacheblock Address: 7f717e91ec80
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f718188ca2e	 Cacheblock Address: 7fff1ea3e4c0
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f71818773ec	 Cacheblock Address: 7fff1ea3e4c0
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f71818773ed	 Cacheblock Address: 7fff1ea3e4c0
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f71818773ee	 Cacheblock Address: 7fff1ea3e4c0
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f71818773f0	 Cacheblock Address: 7fff1ea3e4c0
Micro-op 1: 7f71818773b3	Micro-op 2: 7f71818773f2	 Cacheblock Address: 7fff1ea3e500
Micro-op 1: 7f71818773b3	Micro-op 2: 7f71818773f4	 Cacheblock Address: 7fff1ea3e500
Micro-op 1: 7f718187780f	Micro-op 2: 7f7181877fd4	 Cacheblock Address: 7fff1ea3e580
Micro-op 1: 7f718187780f	Micro-op 2: 7f7181877fd9	 Cacheblock Address: 7fff1ea3e580
Micro-op 1: 7f7181877fe1	Micro-op 2: 7f7181877fe9	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f718187780f	Micro-op 2: 7f7181877ff1	 Cacheblock Address: 7fff1ea3e580
Micro-op 1: 7f7181877757	Micro-op 2: 7f718187776b	 Cacheblock Address: 7f718186c740
Micro-op 1: 7f718187780f	Micro-op 2: 7f718187778b	 Cacheblock Address: 7fff1ea3e580
Micro-op 1: 7f71818778a9	Micro-op 2: 7f71818778aa	 Cacheblock Address: 7fff1ea3e5c0
Micro-op 1: 7f71818778ab	Micro-op 2: 7f71818778ad	 Cacheblock Address: 7fff1ea3e5c0
Micro-op 1: 7f7181877748	Micro-op 2: 7f71818778b1	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f71818781fd	Micro-op 2: 7f7181878219	 Cacheblock Address: 7fff1ea3e680
Micro-op 1: 7f718187739d	Micro-op 2: 7f7181878220	 Cacheblock Address: 7f718189ad00
Micro-op 1: 7f7181878266	Micro-op 2: 7f7181878267	 Cacheblock Address: 7fff1ea3e6c0
Micro-op 1: 7f7181878268	Micro-op 2: 7f718187826a	 Cacheblock Address: 7fff1ea3e6c0
Micro-op 1: 7f71818781f9	Micro-op 2: 7f718187826e	 Cacheblock Address: 7fff1ea3e700
Micro-op 1: 7f7181878270	Micro-op 2: 7f718187d1a2	 Cacheblock Address: 7fff1ea3e700
Micro-op 1: 7f718187d1a3	Micro-op 2: 7f718187d1a8	 Cacheblock Address: 7fff1ea3e700
Micro-op 1: 7f718187d1b4	Micro-op 2: 7f718187d1c3	 Cacheblock Address: 7f718186c740
Micro-op 1: 7f718187d1e4	Micro-op 2: 7f718187d1e5	 Cacheblock Address: 7fff1ea3e700
Micro-op 1: 7f7181884c4d	Micro-op 2: 7f7181884c52	 Cacheblock Address: 7fff1ea3e740
Micro-op 1: 7f7181884c57	Micro-op 2: 7f7181884c5c	 Cacheblock Address: 7fff1ea3e740
