Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/gcc/traces_simp/bin/cc1 Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:21:33 2025

Initialized Ramulator. 
Op1 PC: 7f34ea650f1f	 Op2 PC: 7f34ea65114b	 Op1 Cacheblock: 7f34ea67db80	 Op2 Cacheblock: 7f34ea67db80	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea651187	 Op2 PC: 7f34ea65118b	 Op1 Cacheblock: 7f34ea64fec0	 Op2 Cacheblock: 7f34ea64fec0	 Op1 Offset: 56	 Op2 offset: 48	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f34ea6511b0	 Op2 PC: 7f34ea6511b5	 Op1 Cacheblock: 7f34ea64f5c0	 Op2 Cacheblock: 7f34ea64f5c0	 Op1 Offset: 36	 Op2 offset: 38	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea650ecb	 Op2 PC: 7f34ea650ecb	 Op1 Cacheblock: 7f34ea67ce80	 Op2 Cacheblock: 7f34ea67ce80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f34ea650f62	 Op2 PC: 7f34ea650edf	 Op1 Cacheblock: 7f34ea67da40	 Op2 Cacheblock: 7f34ea67da40	 Op1 Offset: 48	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea650fb6	 Op2 PC: 7f34ea650fb6	 Op1 Cacheblock: 7f34ea67da80	 Op2 Cacheblock: 7f34ea67da80	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea6510de	 Op2 PC: 7f34ea6510de	 Op1 Cacheblock: 7f34ea67cf80	 Op2 Cacheblock: 7f34ea67cf80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7f34ea6510f6	 Op2 PC: 7f34ea6510f6	 Op1 Cacheblock: 7f34ea67dac0	 Op2 Cacheblock: 7f34ea67dac0	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea6511ba	 Op2 PC: 7f34ea6511b0	 Op1 Cacheblock: 7f34ea64f5c0	 Op2 Cacheblock: 7f34ea64f5c0	 Op1 Offset: 40	 Op2 offset: 36	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7f34ea6511cd	 Op2 PC: 7f34ea6511cd	 Op1 Cacheblock: 7f34ea67d9c0	 Op2 Cacheblock: 7f34ea67d9c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea650f4b	 Op2 PC: 7f34ea650f1b	 Op1 Cacheblock: 7f34ea67cf00	 Op2 Cacheblock: 7f34ea67cf00	 Op1 Offset: 0	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 1
Op1 PC: 7f34ea651187	 Op2 PC: 7f34ea651187	 Op1 Cacheblock: 7f34ea64fec0	 Op2 Cacheblock: 7f34ea64fec0	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f34ea6511ba	 Op2 PC: 7f34ea6511ba	 Op1 Cacheblock: 7f34ea64f5c0	 Op2 Cacheblock: 7f34ea64f5c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4
