Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:08:14 2025

Initialized Ramulator. 
Op1 PC: 7ffff7dc474b	 Op2 PC: 7ffff7dc474b	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7ffff7dc47b4	 Op2 PC: 7ffff7dc47d8	 Op1 Cacheblock: 7ffff7dd5e40	 Op2 Cacheblock: 7ffff7dd5e40	 Op1 Offset: 32	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7dc47e9	 Op2 PC: 7ffff7dc47f5	 Op1 Cacheblock: 7ffff7dd5640	 Op2 Cacheblock: 7ffff7dd5640	 Op1 Offset: 48	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7dc48f8	 Op2 PC: 7ffff7dc490a	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc481a	 Op2 PC: 7ffff7dc481a	 Op1 Cacheblock: 7ffff7dcc840	 Op2 Cacheblock: 7ffff7dcc840	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 3	Op2 base reg: 3
Op1 PC: 7ffff7dc48f8	 Op2 PC: 7ffff7dc48f8	 Op1 Cacheblock: 7fffffffd2c0	 Op2 Cacheblock: 7fffffffd2c0	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc49c0	 Op2 PC: 7ffff7dc49c0	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc49d1	 Op2 PC: 7ffff7dc49d1	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a30	 Op2 PC: 7ffff7dc4a34	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a30	 Op2 PC: 7ffff7dc4a30	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4998	 Op2 PC: 7ffff7dc49a8	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4998	 Op2 PC: 7ffff7dc4998	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a70	 Op2 PC: 7ffff7dc4a74	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a70	 Op2 PC: 7ffff7dc4a70	 Op1 Cacheblock: 7fffffffd300	 Op2 Cacheblock: 7fffffffd300	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4840	 Op2 PC: 7ffff7dc4840	 Op1 Cacheblock: 7fffffffd340	 Op2 Cacheblock: 7fffffffd340	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a50	 Op2 PC: 7ffff7dc4a54	 Op1 Cacheblock: 7fffffffd340	 Op2 Cacheblock: 7fffffffd340	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a50	 Op2 PC: 7ffff7dc4a50	 Op1 Cacheblock: 7fffffffd340	 Op2 Cacheblock: 7fffffffd340	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a10	 Op2 PC: 7ffff7dc4a14	 Op1 Cacheblock: 7fffffffd380	 Op2 Cacheblock: 7fffffffd380	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4a10	 Op2 PC: 7ffff7dc4a10	 Op1 Cacheblock: 7fffffffd380	 Op2 Cacheblock: 7fffffffd380	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4948	 Op2 PC: 7ffff7dc494c	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4948	 Op2 PC: 7ffff7dc4948	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4828	 Op2 PC: 7ffff7dc4920	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 32	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc4828	 Op2 PC: 7ffff7dc4932	 Op1 Cacheblock: 7fffffffd3c0	 Op2 Cacheblock: 7fffffffd3c0	 Op1 Offset: 32	 Op2 offset: 56	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc49e8	 Op2 PC: 7ffff7dc49ec	 Op1 Cacheblock: 7fffffffd400	 Op2 Cacheblock: 7fffffffd400	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7dc487d	 Op2 PC: 7ffff7dc488f	 Op1 Cacheblock: 7fffffffc980	 Op2 Cacheblock: 7fffffffc980	 Op1 Offset: 4	 Op2 offset: 5	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc4884	 Op2 PC: 7ffff7dc4896	 Op1 Cacheblock: 7fffffffc940	 Op2 Cacheblock: 7fffffffc940	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc48a2	 Op2 PC: 7ffff7dc48a9	 Op1 Cacheblock: 7fffffffc980	 Op2 Cacheblock: 7fffffffc980	 Op1 Offset: 6	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7ffff7dc48b3	 Op2 PC: 7ffff7dc48c6	 Op1 Cacheblock: 7fffffffc980	 Op2 Cacheblock: 7fffffffc980	 Op1 Offset: 7	 Op2 offset: 22	 Op1 base reg: 8	Op2 base reg: 8
