Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f71818775c4	 Op2 PC: 7f71818775c4	 Op1 Cacheblock: 7f718189aa00	 Op2 Cacheblock: 7f718189aa00	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f7181877530	 Op2 PC: 7f7181877530	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f7181877545	 Op2 PC: 7f7181877545	 Op1 Cacheblock: 7f718189aa40	 Op2 Cacheblock: 7f718189aa40	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f7181877555	 Op2 PC: 7f7181877555	 Op1 Cacheblock: 7f7181899e80	 Op2 Cacheblock: 7f7181899e80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f718187758f	 Op2 PC: 7f718187758f	 Op1 Cacheblock: 7f718186c3c0	 Op2 Cacheblock: 7f718186c3c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f71818777b8	 Op2 PC: 7f71818777ca	 Op1 Cacheblock: 7f718189acc0	 Op2 Cacheblock: 7f718189acc0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f71818777db	 Op2 PC: 7f71818777f4	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187782d	 Op2 PC: 7f718187782d	 Op1 Cacheblock: 7f718186c480	 Op2 Cacheblock: 7f718186c480	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 15	Op2 base reg: 15
Op1 PC: 7f718187784c	 Op2 PC: 7f7181877867	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187786c	 Op2 PC: 7f7181877879	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
