UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_count, 214,             0
UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_total_count, 214,             0

UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_count, 214,             0
UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_total_count, 214,             0

UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_OFF_PATH_count, 214,          7285
UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_OFF_PATH_total_count, 214,          7285

UOP_CACHE_LINE_INSERT_SUCCEEDED_OFF_PATH_count, 214,        191648
UOP_CACHE_LINE_INSERT_SUCCEEDED_OFF_PATH_total_count, 214,        191648

UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_RESTEERED_count, 215,             0
UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_RESTEERED_total_count, 215,             0

UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_CORRECT_PRED_count, 215,             0
UOP_CACHE_ICACHE_SWITCH_BR_NOT_TAKEN_CORRECT_PRED_total_count, 215,             0

UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_RESTEERED_count, 215,             0
UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_RESTEERED_total_count, 215,             0

UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_CORRECT_PRED_count, 215,             0
UOP_CACHE_ICACHE_SWITCH_BR_TAKEN_CORRECT_PRED_total_count, 215,             0

UOP_CACHE_FT_LINES_1_ON_PATH_count, 216,       1339109
UOP_CACHE_FT_LINES_1_ON_PATH_total_count, 216,       1339109

UOP_CACHE_FT_LINES_2_ON_PATH_count, 216,        552372
UOP_CACHE_FT_LINES_2_ON_PATH_total_count, 216,        552372

UOP_CACHE_FT_LINES_3_ON_PATH_count, 216,        189506
UOP_CACHE_FT_LINES_3_ON_PATH_total_count, 216,        189506

UOP_CACHE_FT_LINES_4_ON_PATH_count, 216,         13179
UOP_CACHE_FT_LINES_4_ON_PATH_total_count, 216,         13179

UOP_CACHE_FT_LINES_5_ON_PATH_count, 216,          3164
UOP_CACHE_FT_LINES_5_ON_PATH_total_count, 216,          3164

UOP_CACHE_FT_LINES_6_ON_PATH_count, 216,             0
